c,null_like,alt_like,p
0,-15070.91362794356,-15071.77814186507,1
0.01,-14418.937453341416,-14419.722948630088,1
0.02,-15496.26581958365,-15496.739639885394,1
0.03,-14968.596227660253,-14969.056540953341,1
0.04,-15155.130069228147,-15155.91636443143,1
0.05,-16092.798918605129,-16091.696094005427,0.1375059948156081
0.06,-15458.853163771275,-15458.791590896117,0.7256474004088379
0.07,-15415.117692712565,-15415.671706156778,1
0.08,-15383.747366597116,-15384.221580610918,1
0.09,-14605.84606288424,-14604.492639087686,0.09991826435537485
0.1,-15292.578903003365,-15293.161029103167,1
0.11,-14390.130735069768,-14390.874799106123,1
0.12,-15586.300699089334,-15585.937906687255,0.3943180797742673
0.13,-14912.86040659461,-14912.973606187066,1
0.14,-14870.502598581774,-14871.091814234827,1
0.15,-15255.455852472363,-15256.33601609152,1
0.16,-14967.906512902156,-14968.42478709884,1
0.17,-14634.556607243056,-14634.832540931313,1
0.18,-14861.37223062501,-14861.086534974589,0.44970657959892013
0.19,-15254.753361562201,-15255.23743807516,1
0.2,-14997.87346883965,-14998.681279316692,1
0.21,-15899.63157993099,-15900.29131542724,1
0.22,-15277.688182687747,-15278.451664135639,1
0.23,-14937.373119167723,-14933.251498888854,0.004090403898764339
0.24,-14624.798757575896,-14625.605488178864,1
0.25,-15134.920832661326,-15133.629500269042,0.10803964123969263
0.26,-14913.680626857133,-14909.721132279356,0.004891859671033373
0.27,-16020.764671467075,-16021.165941947662,1
0.28,-14908.333655371032,-14908.826593713577,1
0.29,-15504.011616270142,-15503.276422546249,0.22528457312286648
0.3,-15242.634089398078,-15240.841392781555,0.05828961960943564
0.31,-14301.497902123378,-14299.58093865539,0.05022513065994662
0.32,-15184.29790717441,-15182.706396727584,0.0744070492356783
0.33,-13960.978580941755,-13958.474109447525,0.02521669948374592
0.34,-14611.758993179463,-14608.767930065755,0.01445156971894095
0.35000000000000003,-15311.212637804783,-15308.729363389197,0.025842161615151838
0.36,-15919.13179332285,-15917.354261522787,0.059364033069941376
0.37,-15739.118098476894,-15739.775704750546,1
0.38,-14831.77323959681,-14830.704712457833,0.14377773903450095
0.39,-14636.148157234573,-14631.399078415698,0.0020567831468285224
0.4,-15440.444711538532,-15435.251345059249,0.001269240045946346
0.41000000000000003,-15502.640082388618,-15499.12002690984,0.007970409350900183
0.42,-15257.757828282147,-15258.384377687704,1
0.43,-14603.282717794751,-14600.86476086521,0.02787286457740237
0.44,-15237.859112432543,-15234.77169144784,0.012957948460660517
0.45,-14868.109189346134,-14865.458302053014,0.02130370935460399
0.46,-15807.03318936577,-15807.237422325385,1
0.47000000000000003,-15188.188845526085,-15185.505573136601,0.020526599732708477
0.48,-14783.922539508212,-14779.628566419022,0.0033839544996615172
0.49,-15143.04732116347,-15143.202466487342,1
0.5,-15314.463964348466,-15312.770132063915,0.06568592636226887
0.51,-15254.602861821379,-15252.877374992933,0.06321452100578995
0.52,-14816.03153076675,-14806.988546838773,2.1115181222875807e-5
0.53,-15874.602314943311,-15870.154360685465,0.0028581036097566456
0.54,-15447.461679824997,-15444.97276936086,0.025674302163358267
0.55,-15260.172819439125,-15252.054987276148,5.593120571102818e-5
0.56,-15572.352519263432,-15568.390418956871,0.004877789134951899
0.5700000000000001,-15392.069052099321,-15388.445199274469,0.007099166202579404
0.58,-15565.293149317351,-15561.736437248379,0.0076508829438755544
0.59,-14850.874335310767,-14844.243059854038,2.7076095710557957e-4
0.6,-15045.20936664213,-15040.94097862625,0.0034804155450312646
0.61,-14654.866934357027,-14654.543518108685,0.4212474262008028
0.62,-14962.12874329188,-14960.910494542599,0.11854064338940196
0.63,-15236.073082165194,-15235.210459777294,0.18901932464123022
0.64,-15594.363811176368,-15593.609283843487,0.21928339266917418
0.65,-14828.092022729516,-14822.894725765407,0.0012638479080635961
0.66,-15774.63855918748,-15771.233361819965,0.009062872842495313
0.67,-14704.271303734477,-14696.227236670611,6.046169118551656e-5
0.68,-15929.878097272378,-15925.772863996925,0.004164944077090528
0.6900000000000001,-14872.267220170457,-14864.544687710079,8.493844922016154e-5
