c,null_like,alt_like,p
0,-15053.43915062671,-15054.334191303378,1
0.01,-15102.622037282776,-15102.703053086927,1
0.02,-15228.527851390694,-15229.257343246192,1
0.03,-14623.08464742858,-14623.826090961518,1
0.04,-15514.591443824114,-15514.89884911567,1
0.05,-15020.288320321019,-15020.943288258655,1
0.06,-15340.154276213912,-15340.753972264365,1
0.07,-15625.257705556336,-15623.766657427263,0.0841901675677247
0.08,-14893.000894555513,-14893.90209183026,1
0.09,-14825.438581736102,-14825.522750460816,1
0.1,-15097.336251071887,-15097.456983110162,1
0.11,-14910.951919664347,-14910.841885484266,0.6389878362984129
0.12,-14813.532292860014,-14814.332008239719,1
0.13,-16104.519767363687,-16105.19436539229,1
0.14,-14634.099010563616,-14633.705920745895,0.37525782551149356
0.15,-15436.720703649311,-15437.298234279438,1
0.16,-15520.580257233241,-15521.486220587265,1
0.17,-14798.43110362168,-14798.00459672337,0.3557011451339302
0.18,-15008.704772465278,-15009.21122340472,1
0.19,-15282.606429165859,-15280.543774030291,0.04224627308920074
0.2,-15325.739422046305,-15326.270971781583,1
0.21,-14747.317743219653,-14747.107829309383,0.5170229709641783
0.22,-15177.567218990489,-15177.372701392827,0.5328069804113577
0.23,-15366.78388903405,-15367.13071801423,1
0.24,-14416.333841376694,-14417.189914796882,1
0.25,-15287.74504662768,-15288.5627979748,1
0.26,-14432.289605972197,-14432.666919024183,1
0.27,-15588.7455633661,-15587.770038059782,0.16247368218554492
0.28,-15492.66514387339,-15492.818708987073,1
0.29,-14892.334844993864,-14893.056234458007,1
0.3,-15350.146868866712,-15349.296861564675,0.192286067228393
0.31,-15058.42674981089,-15058.883299344678,1
0.32,-14746.128951295124,-14746.373587948287,1
0.33,-16159.149246331921,-16159.169386182273,1
0.34,-15074.057858402233,-15070.914655215436,0.012166749293713482
0.35000000000000003,-14706.484579081654,-14707.068381626696,1
0.36,-15565.77542709792,-15559.267045543083,3.0871497112757004e-4
0.37,-14713.419515251564,-14711.879222440568,0.07923199261270039
0.38,-14888.760203082247,-14884.938313586894,0.005696844404518084
0.39,-15467.037308732894,-15463.927577702301,0.012635349766087229
0.4,-15075.651209481877,-15069.132986671597,3.05487325767122e-4
0.41000000000000003,-14498.644321043519,-14496.711377391774,0.04927713150030355
0.42,-14306.630600012839,-14304.40600708184,0.03491788973400387
0.43,-15359.615637487223,-15360.35293370025,1
0.44,-14941.098137763824,-14936.934155011484,0.0039039355162907323
0.45,-14708.6513676845,-14705.464055404684,0.011576352963068847
0.46,-14983.368294437296,-14975.710667442114,9.097889271996624e-5
0.47000000000000003,-15243.58523105419,-15240.088462408494,0.00818045292751368
0.48,-15351.830427158584,-15349.22687321414,0.022494723674025233
0.49,-15226.90470436927,-15223.81151966355,0.012873803741748992
0.5,-14982.121024912634,-14981.796732683475,0.4206192276737707
0.51,-15258.751090386504,-15244.811294522577,1.2910434359281368e-7
0.52,-14922.319135259273,-14920.550870833222,0.06003096697975943
0.53,-14698.04283816367,-14693.852596088365,0.0037927137887448443
0.54,-14935.123056130817,-14925.409984664606,1.0456585483879277e-5
0.55,-15125.009458306678,-15119.457868105887,8.617980180357345e-4
0.56,-14938.12807399209,-14937.528292437402,0.27340901613321955
0.5700000000000001,-16209.978032721983,-16207.061729043615,0.01573179019822628
0.58,-15246.411571984665,-15236.647038788175,9.908053720720396e-6
0.59,-14359.174483175568,-14346.621860296043,5.428498353020274e-7
0.6,-15193.954243361615,-15191.983164625372,0.047090347377217276
0.61,-15269.758852165063,-15268.038500666367,0.06360862200668473
0.62,-14887.691877237881,-14879.84130826336,7.417952863015167e-5
0.63,-15013.78054130571,-15009.994638133825,0.005928833637052516
0.64,-15221.107012803297,-15213.65235339333,1.1280438045082788e-4
0.65,-15494.142380824618,-15484.681448710428,1.3618290796031073e-5
0.66,-14965.780061341731,-14959.289292450818,3.145774939614856e-4
0.67,-14405.04629159061,-14400.378137755471,0.0022465772074866494
0.68,-14095.483653656906,-14087.057657905974,4.041090379360345e-5
0.6900000000000001,-15430.769854264065,-15426.31133352539,0.0028252181753776434
0.7000000000000001,-14352.092188394177,-14348.359514730297,0.006289789505011958
0.71,-14980.907818382428,-14973.628476760941,1.3586108447718467e-4
0.72,-15513.919040609859,-15510.72631356751,0.01150593222072153
0.73,-14650.716810344493,-14643.383313809081,1.2827296372409607e-4
0.74,-15272.531176171771,-15266.823735625714,7.285815980369788e-4
0.75,-14615.073911075864,-14610.602240630162,0.0027848291539723123
0.76,-14926.121770961641,-14920.222587551045,5.928270364637297e-4
0.77,-14908.986457000494,-14902.587234098746,3.4690742792254384e-4
0.78,-15178.62854889215,-15171.334317087845,1.3373073710954228e-4
0.79,-14243.67845368294,-14232.176945208015,1.6174736770195672e-6
0.8,-16394.967147952924,-16384.51211067434,4.813563134068232e-6
0.81,-14814.44844957277,-14805.588580813168,2.5595699186937526e-5
0.8200000000000001,-14441.010792118514,-14429.8174452274,2.2291306175562397e-6
0.8300000000000001,-15057.519866023695,-15049.698583316334,7.651278393574286e-5
0.84,-14771.481293200828,-14758.640175292958,4.025152176804107e-7
0.85,-15316.657467939558,-15308.758603605316,7.04870746827623e-5
0.86,-15283.123832945956,-15270.753023694226,6.555324509463653e-7
0.87,-15235.777748207478,-15226.383085761525,1.4598193538946906e-5
0.88,-15205.189515899881,-15191.705743818982,2.069005869447518e-7
