c,null_like,alt_like,p
0,-15721.733132802288,-15719.642558332009,0.040875980978944446
0.01,-15136.240488318223,-15137.051801624719,1
0.02,-15349.786428158966,-15350.494351705145,1
0.03,-15423.339421047625,-15423.149206235103,0.5373733979614772
0.04,-14890.437279275817,-14890.9045591219,1
0.05,-14784.285695473747,-14784.304453313904,1
0.06,-14675.528053038677,-14675.978220183779,1
0.07,-14973.794621463465,-14974.347202291929,1
0.08,-15267.412176164586,-15268.190752379769,1
0.09,-15940.44012837784,-15940.430177067921,0.8878093934882214
0.1,-14562.918959166169,-14563.679810029187,1
0.11,-15098.0033012129,-15095.895465073234,0.04005219196088127
0.12,-14034.790199670553,-14033.306305614364,0.08493791603579681
0.13,-14950.18692595705,-14948.942028900046,0.11458671354920152
0.14,-14800.910375887655,-14799.213433325018,0.06543858729036048
0.15,-15215.136449762253,-15215.770615748674,1
0.16,-15763.828244044289,-15764.454631738512,1
0.17,-14744.868368963243,-14744.737477669563,0.6088981299711379
0.18,-14861.125252156797,-14861.50853496746,1
0.19,-14669.562818692239,-14670.404239919691,1
0.2,-15268.691105966853,-15269.142363806222,1
0.21,-15719.881028811511,-15718.652253860198,0.11696109520730669
0.22,-16050.461137770086,-16051.328864025869,1
0.23,-15441.33640593225,-15437.546866778972,0.005904962581112886
0.24,-15261.760239236224,-15262.627755126732,1
0.25,-14749.761531120837,-14747.536203073287,0.03488784059270389
0.26,-15288.494330159949,-15286.609377218561,0.05218256897077215
0.27,-15281.248021274778,-15282.006860669264,1
0.28,-15122.002096260094,-15121.37134301853,0.26136612642394796
0.29,-15482.495464597181,-15478.69635495242,0.0058425976988147315
0.3,-15825.628107085553,-15820.094377834113,8.785602140538116e-4
0.31,-15046.177010025052,-15044.34540586531,0.05562642069127127
0.32,-15183.426961106761,-15180.834500159915,0.022783696377238944
0.33,-15857.756972705958,-15857.314712151734,0.346966367093628
0.34,-15476.656435227975,-15476.296450386802,0.39615385407178116
0.35000000000000003,-14115.82826239379,-14108.510041562526,1.303691114697961e-4
0.36,-15225.272723872024,-15222.88114670134,0.02873943084739694
0.37,-15397.123631759681,-15393.857660936128,0.010595423677326708
0.38,-14566.77787136909,-14566.214045035189,0.28827658343118956
0.39,-15991.280865628416,-15986.272883157966,0.0015518908767079148
0.4,-14942.612131532582,-14938.344299863144,0.0034825438606837012
0.41000000000000003,-15294.041299626098,-15294.576825370556,1
0.42,-15900.365729592373,-15899.02296460351,0.10126352987987862
0.43,-15314.439301228615,-15314.558681657158,1
0.44,-14575.75950403519,-14575.19498369769,0.2879800571527915
0.45,-14423.387364962231,-14423.0308842964,0.39846247102359167
0.46,-14861.664418997161,-14859.37218730847,0.03226307217351527
0.47000000000000003,-14791.581866123237,-14782.3890685866,1.8041677374165428e-5
0.48,-15169.218490532714,-15165.439840177438,0.00597674454858151
0.49,-15318.451524713992,-15315.12888284906,0.00994186442056989
0.5,-15824.385433332405,-15809.653672142871,5.697909066647301e-8
0.51,-15709.540446808796,-15705.821841062572,0.006388880553812759
0.52,-15548.833933022548,-15547.539043737635,0.10755537125722334
0.53,-14669.952422113885,-14663.219660874154,2.429874887836367e-4
0.54,-15340.172029865835,-15334.716145615557,9.55552579052184e-4
0.55,-15248.946894466464,-15247.404887686936,0.07906519388494822
0.56,-15062.926713969258,-15061.87683004476,0.1473215051718024
0.5700000000000001,-15065.701733963311,-15059.546038831166,4.5020251902908775e-4
0.58,-15424.722056788949,-15424.196537846452,0.3052681736904254
0.59,-15097.83708466254,-15086.426028183309,1.7770920593314408e-6
0.6,-15210.52766781312,-15209.561952216936,0.16460195028339733
0.61,-14837.414778965474,-14829.434002113407,6.464202957547585e-5
0.62,-15419.229707877594,-15418.806028090556,0.35730037615847005
0.63,-15380.148831129607,-15372.697037330021,1.1314760237861725e-4
0.64,-15660.651920387407,-15656.291740719273,0.003146760139052461
0.65,-15366.266129797988,-15364.553011698548,0.0641681852575648
0.66,-14798.202243544236,-14788.119004262995,7.0986063653860135e-6
0.67,-15757.24622309187,-15746.936625564604,5.6031503372053095e-6
0.68,-15397.125829107754,-15393.284615754848,0.005576113407570081
0.6900000000000001,-15482.205907329857,-15478.670594296675,0.00783578705536521
0.7000000000000001,-14624.684200659747,-14622.321385278485,0.029716282180193346
0.71,-16134.678924875023,-16117.984655742668,7.54674224792272e-9
0.72,-14997.806527545034,-14994.145281525814,0.006809692265171128
0.73,-15142.120611106808,-15132.381386336714,1.0174108885871832e-5
0.74,-14600.463165952688,-14585.707518253452,5.5591772643616085e-8
0.75,-16306.24162759873,-16302.786919727885,0.00857430040190488
0.76,-15107.509574940716,-15099.748673509737,8.155910811383669e-5
0.77,-15159.466318838886,-15155.115300042733,0.0031785454992207213
0.78,-14906.67738596077,-14902.32157554057,0.0031618795762670404
0.79,-14444.216379216161,-14434.681020486581,1.2596284904491578e-5
