c,null_like,alt_like,p
0,-14937.173371208415,-14937.698655557308,1
0.01,-15680.198163799832,-15681.082630938623,1
0.02,-14829.807886317101,-14829.736855611143,0.7062402295585135
0.03,-15016.185638114554,-15016.979542588479,1
0.04,-15745.294417800476,-15745.975508467687,1
0.05,-14729.605260396569,-14730.259925170194,1
0.06,-15327.867598611248,-15325.70279567381,0.03745491753232315
0.07,-15626.64490264594,-15627.329850634931,1
0.08,-14838.91090312761,-14839.48928449034,1
0.09,-15488.732205580556,-15489.47497557074,1
0.1,-14777.495479835805,-14778.343405995036,1
0.11,-15771.93390203422,-15771.272783709934,0.2501910363888461
0.12,-14108.26781347898,-14109.240188738437,1
0.13,-15506.6693781296,-15507.404626088455,1
0.14,-15211.197557785461,-15211.54671899253,1
0.15,-14690.419358308574,-14690.817885081746,1
0.16,-15158.215147141487,-15157.769554809032,0.3451564767815108
0.17,-15646.965751424,-15646.017128603407,0.1683869436953967
0.18,-14708.137096043289,-14705.99812565153,0.038610097665877
0.19,-14778.926316419656,-14775.579644520096,0.009677352598183192
0.2,-14895.602187910798,-14894.843663261874,0.21806656910726407
0.21,-15019.263258790963,-15017.123656091277,0.03858138067832642
0.22,-14666.31000236004,-14663.45836956731,0.01693337904985542
0.23,-15795.737146085059,-15796.279776736625,1
0.24,-14700.713530661644,-14700.995719364551,1
0.25,-15337.095406367254,-15337.496604556598,1
0.26,-15251.523801215464,-15249.056682643844,0.026329682139439804
0.27,-15637.897356100479,-15637.811678400294,0.6789100191786193
0.28,-15334.490097408818,-15335.352585852977,1
0.29,-15299.488603649652,-15299.915354610366,1
0.3,-15236.35362816385,-15236.66050456283,1
0.31,-14593.276633323881,-14591.197107210188,0.04141257062945023
0.32,-14713.517897291287,-14710.52298259141,0.014388593882783166
0.33,-15127.44220960227,-15119.687831059771,8.212391612303842e-5
0.34,-14700.091660435417,-14700.758013528939,1
0.35000000000000003,-14785.3418446208,-14785.858694878214,1
0.36,-15064.321009009172,-15064.42525938938,1
0.37,-15075.63576847894,-15074.660272974837,0.16248010017307712
0.38,-15744.348607675753,-15739.66711108594,0.00221410280990874
0.39,-15097.25219611654,-15097.950585845612,1
0.4,-14857.017243829814,-14855.905976789161,0.1360096570045423
0.41000000000000003,-15489.952283313205,-15488.731904543693,0.11821912189756724
0.42,-14728.869988063792,-14727.204985849525,0.06802669134440535
0.43,-15551.456773330894,-15547.817458299813,0.006977973244601936
0.44,-15470.0357902786,-15466.90260638852,0.012305113844291308
0.45,-15098.004061947282,-15092.135434201815,6.126129617876929e-4
0.46,-15021.09493627951,-15017.83501829086,0.010667784120359963
0.47000000000000003,-15227.105869087058,-15223.220152125594,0.005307889732842687
0.48,-15517.745289523336,-15511.223615790661,3.0436359860821864e-4
0.49,-15198.746847434848,-15193.851576185849,0.0017541170446927954
0.5,-14975.963717860579,-14974.000620028579,0.04753937350528388
0.51,-14901.785103657832,-14898.27164542438,0.008029349263671671
0.52,-14926.626337183587,-14926.937464450282,1
0.53,-15503.142919949414,-15500.107765315835,0.013747288797923394
0.54,-15101.598061287312,-15097.862571309608,0.006270141283059019
0.55,-15755.661322373046,-15748.988916192735,2.591384863770216e-4
