c,null_like,alt_like,p
0,-14673.55427419517,-14669.203580488096,0.003179679431756502
0.01,-14934.928933268711,-14935.830609096303,1
0.02,-14543.475153254614,-14542.315304627527,0.12774488661972028
0.03,-15107.184591571406,-15107.602903064939,1
0.04,-15032.78260739241,-15033.425702556446,1
0.05,-15516.190791564657,-15516.637064903409,1
0.06,-14950.009120037888,-14950.523785493278,1
0.07,-15580.558456198381,-15580.902430360278,1
0.08,-15495.643874036532,-15493.746235136154,0.05139734363422552
0.09,-14967.044695522243,-14967.815337404207,1
0.1,-15114.552636272427,-15114.28973255173,0.4683748512853788
0.11,-14524.504741089306,-14524.006874440025,0.3183451319189749
0.12,-15728.759252835882,-15729.122287916818,1
0.13,-15262.422969361456,-15263.166451671292,1
0.14,-15621.057215147292,-15621.769749217216,1
0.15,-15278.810264774085,-15278.838832086158,1
0.16,-14591.520320958332,-14591.351660723236,0.56137999585535
0.17,-14902.840528429893,-14900.23139089851,0.022350710704809436
0.18,-15522.933532046378,-15521.63207201261,0.10666701941405701
0.19,-15363.57454753438,-15364.427757478374,1
0.2,-15414.408540759428,-15413.878573857999,0.3032302834690729
0.21,-15595.142573378269,-15594.65968954157,0.3257379819718117
0.22,-15812.807455932303,-15813.05271496325,1
0.23,-14688.752019326415,-14689.085979991043,1
0.24,-14605.484702390184,-14598.214609699857,1.372015042292059e-4
0.25,-15762.905419710736,-15763.692563182976,1
0.26,-15419.5574626999,-15418.414930999132,0.1306248038959464
0.27,-15582.20392330985,-15582.94868783881,1
0.28,-14484.008816330555,-14481.864072390697,0.03834871496914213
0.29,-15437.172260333491,-15433.45034530346,0.0063654283255105
0.3,-15224.389489100962,-15224.989457220476,1
0.31,-15378.084141469633,-15378.801953371783,1
0.32,-13951.695680433886,-13952.568369632863,1
0.33,-14218.608524633832,-14217.946768989512,0.24996285511751556
0.34,-15059.804724104935,-15057.363314791983,0.02712528991698459
0.35000000000000003,-15429.495284394188,-15427.991477237805,0.08287418225044019
0.36,-15618.883023057448,-15619.659142405011,1
0.37,-14982.169818626826,-14981.810063995808,0.39630492727801575
0.38,-15379.655189690106,-15376.844350495416,0.017739652645967687
0.39,-14561.016194580818,-14560.933940199775,0.6850388823715895
0.4,-15180.35810772053,-15180.571815738671,1
0.41000000000000003,-14727.437776326122,-14727.884511591692,1
0.42,-14903.539782771275,-14897.252308281617,3.909519168062046e-4
0.43,-15289.67099915148,-15289.885790562314,1
0.44,-15108.068533546873,-15106.780800214921,0.10853209051100474
0.45,-14971.198889475785,-14971.245691078135,1
0.46,-15509.741586407543,-15508.185532738396,0.07771235212609584
0.47000000000000003,-14741.287225507467,-14739.292468365918,0.045784260634246954
0.48,-15780.187374487987,-15779.583605188547,0.27182014452154396
0.49,-15587.089758627466,-15572.683130632257,7.970372236839939e-8
0.5,-14809.518557805806,-14805.554862387613,0.004869196129403179
0.51,-14705.649703166695,-14692.890364515464,4.38121110258432e-7
0.52,-14008.665025615826,-14007.272867245721,0.0951912844205928
0.53,-15263.473375039754,-15260.003272994029,0.008427949643733118
0.54,-15212.763616825434,-15210.585003639044,0.036852259969415394
0.55,-15431.21088325027,-15423.549969663392,9.06628843977406e-5
0.56,-15673.336118394922,-15671.237809891676,0.04050470712126675
0.5700000000000001,-15883.42747888581,-15879.27882216423,0.003970376952635854
0.58,-14270.901034626479,-14270.303297688271,0.27422818479127864
