c,null_like,alt_like,p
0,-14222.400468342488,-14223.075525823408,1
0.01,-14978.35608564582,-14978.684684206077,1
0.02,-14673.298744390164,-14673.265722764776,0.7971874079046393
0.03,-14489.349834782412,-14490.216160597696,1
0.04,-15500.978231392675,-15501.691835764095,1
0.05,-15205.57098478864,-15206.232667964308,1
0.06,-15635.302590265568,-15634.793920956272,0.313151129146767
0.07,-15666.731889653764,-15667.200642985443,1
0.08,-15226.420779909567,-15227.100272967169,1
0.09,-15513.058141798825,-15513.890397365565,1
0.1,-14546.476986026364,-14547.232363082523,1
0.11,-14994.338689492184,-14995.274616499986,1
0.12,-14635.929348934142,-14633.355280806029,0.023271337765324737
0.13,-14988.706963321454,-14989.250383604784,1
0.14,-14750.470156798863,-14751.243239193924,1
0.15,-15183.765866593469,-15183.202752820569,0.28858144298204763
0.16,-15174.55786538146,-15174.69262276047,1
0.17,-15900.578286276426,-15900.127493750133,0.3423570555819577
0.18,-14713.277318054374,-14712.933978406052,0.4072961768559451
0.19,-15225.049389471154,-15224.561544849603,0.32326538492043433
0.2,-14947.716539741563,-14946.12629454598,0.07452236110680963
0.21,-15753.849312609922,-15754.737359338207,1
0.22,-15581.251804189733,-15581.63363534488,1
0.23,-15630.141110396171,-15628.716561462792,0.09142522535612957
0.24,-15835.11032849598,-15835.528061314792,1
0.25,-15009.951580916822,-15010.14988348903,1
0.26,-15297.216399322693,-15296.987133288858,0.49831081348678286
0.27,-14881.510801587667,-14881.710397797919,1
0.28,-14733.822562618547,-14733.400205365704,0.3580518916078714
0.29,-14574.921508224914,-14575.460022210305,1
0.3,-15127.484367589925,-15128.176059746433,1
0.31,-15467.081118148955,-15465.88592265076,0.12208309059808047
0.32,-15519.339029465531,-15519.397535533852,1
0.33,-14855.955730023627,-14851.665057444483,0.003396243825607671
0.34,-15548.710840303896,-15547.789751465572,0.17469592457743047
0.35000000000000003,-15295.235573905778,-15295.377609363011,1
0.36,-15128.890967447329,-15126.412738983277,0.025993413415887148
0.37,-15138.19280376796,-15138.922110023925,1
0.38,-15766.037640601928,-15764.967209177172,0.1434212039938802
0.39,-14181.699405432259,-14179.094578327858,0.022461801680407695
0.4,-15484.447746494903,-15480.07476552688,0.0031028837950244394
0.41000000000000003,-15507.026940818645,-15504.04203789757,0.014552883082051942
0.42,-14669.006350644686,-14664.398505970174,0.0023994984532345457
0.43,-15582.282524339887,-15582.681457286086,1
0.44,-14589.450316735578,-14589.068756361758,0.3823536537812065
0.45,-15936.353670821702,-15927.620201115491,2.923476220820212e-5
0.46,-14805.999728008032,-14797.729755308215,4.7635896961479484e-5
0.47000000000000003,-15961.84851015107,-15955.65131210954,4.306242442898064e-4
0.48,-15968.533813060067,-15967.030416741103,0.0829162087013156
0.49,-15006.490494111747,-15004.166530855133,0.031091081363308955
0.5,-14417.174007767037,-14409.718961818868,1.1275816400174012e-4
0.51,-15218.615279000544,-15213.41228361754,0.0012560715260349874
0.52,-15160.576715844474,-15156.010032243807,0.00250989355848845
0.53,-15000.654598781237,-14996.719323660645,0.005024636132547318
0.54,-14941.822573130847,-14934.306953104806,1.0574613579398105e-4
0.55,-15648.990668484845,-15643.744769982186,0.0011990569506006854
0.56,-14671.377768696795,-14670.797284919612,0.28126496853797783
0.5700000000000001,-15217.290642790374,-15211.827018356233,9.47601063433922e-4
0.58,-15623.68946195838,-15618.405823754021,0.001151071959960471
0.59,-15770.943618037081,-15766.646750456066,0.003373214175220494
0.6,-15103.962403930429,-15094.176025350078,9.68402728451845e-6
0.61,-14809.595665508712,-14807.227780648462,0.029541626428363093
0.62,-15886.758132355046,-15882.018766609355,0.0020786764744463613
0.63,-15046.692087062254,-15041.654360568942,0.0015025767712896982
0.64,-14955.8044307118,-14940.625872454862,3.593860370439888e-8
0.65,-15509.00073276416,-15504.955717599249,0.004450941738733277
0.66,-14495.791799938172,-14484.449672123861,1.909258644861326e-6
0.67,-15102.45290162342,-15100.252741446306,0.03593218026523032
0.68,-15772.496948977228,-15768.306157358316,0.003790420941656938
0.6900000000000001,-15700.296541621048,-15691.318666659743,2.261003689370424e-5
0.7000000000000001,-15630.660203849438,-15628.654136483654,0.04517391979800125
0.71,-14746.018530872663,-14727.778681192292,1.5426457858410446e-9
0.72,-14731.236070436282,-14730.015394293423,0.11817431086088076
0.73,-14908.238497479198,-14900.570129901036,8.995026426826911e-5
0.74,-15521.612241497869,-15516.399259302096,0.0012425595657716412
0.75,-14408.939297177463,-14406.694042056775,0.034083503373739006
