c,null_like,alt_like,p
0,-15476.330734321567,-15477.14340295899,1
0.01,-15157.215686219986,-15157.963225506484,1
0.02,-15154.458325707861,-15155.156928969409,1
0.03,-15739.525560407727,-15740.166420065138,1
0.04,-15494.727793658705,-15495.058311704115,1
0.05,-15228.555424565555,-15227.986507819569,0.28611058741968853
0.06,-15344.123860700336,-15343.763354734187,0.39581217751282527
0.07,-15450.18042677951,-15450.629192235527,1
0.08,-14789.692080130728,-14789.53869021067,0.5796629593823294
0.09,-14502.77765847939,-14503.549475730839,1
0.1,-14767.486649165994,-14768.290232780137,1
0.11,-14987.346404559248,-14987.446426496565,1
0.12,-14913.564142711406,-14913.388267550421,0.5531239837145502
0.13,-16073.480715192614,-16073.71512867729,1
0.14,-15138.035792217559,-15137.682280824605,0.4004339500847804
0.15,-14808.29464360137,-14809.035185628352,1
0.16,-15659.121198682198,-15659.725177468406,1
0.17,-15609.871817768737,-15610.712878383636,1
0.18,-15841.802092262373,-15841.823307211758,1
0.19,-15361.96573967226,-15362.089116470497,1
0.2,-15759.230929960917,-15759.026332208845,0.5223781183208138
0.21,-14330.327528909245,-14331.157392563346,1
0.22,-14748.345376390109,-14748.951546037615,1
0.23,-15592.09259810792,-15592.122425026279,1
0.24,-14988.1544824367,-14988.644001874565,1
0.25,-14941.938717727726,-14940.559251993269,0.09671281379166073
0.26,-15073.477715871599,-15073.170439270338,0.43307858143564987
0.27,-15297.14810588975,-15296.54661202427,0.27272534385795394
0.28,-15757.034880921425,-15755.233276925499,0.057668188599613854
0.29,-14092.724188340078,-14092.30307957917,0.35876332771756864
0.3,-13518.045708376849,-13514.861302553763,0.011614334702732978
0.31,-15119.719646831823,-15119.411062326668,0.4321012489338295
0.32,-15561.924773686707,-15561.850099692263,0.6991592236722823
0.33,-15434.270194771605,-15431.731792840063,0.024248029178329404
0.34,-15963.268455503292,-15963.440914910158,1
0.35000000000000003,-15453.605133383986,-15454.245976548455,1
0.36,-14986.273675540562,-14986.677286308986,1
0.37,-15196.208255096344,-15196.334785774428,1
0.38,-15102.711388546128,-15100.637715740331,0.041699844023026206
0.39,-15140.03605290233,-15138.668801576987,0.09820206948546956
0.4,-15873.598918183947,-15870.844014263066,0.01891012438527853
0.41000000000000003,-15148.290879622056,-15148.357336096275,1
0.42,-16215.865731933889,-16210.176875159614,7.433055709470288e-4
0.43,-13809.323006575618,-13808.188760969033,0.132028382670823
0.44,-14913.337587380567,-14910.210811754936,0.012394457316099994
0.45,-15843.057935601773,-15838.208151646544,0.0018431134502361931
0.46,-14207.976970411255,-14207.9825279861,1
0.47000000000000003,-15218.240721346683,-15215.954309829005,0.032482994152499396
0.48,-15156.795200899523,-15145.619042990791,2.2693922751204865e-6
0.49,-15306.393285959188,-15303.574712815196,0.017583805065652432
0.5,-15599.65099579429,-15599.205996524943,0.34547770390425714
0.51,-15467.034145955167,-15461.612925883675,9.919992134596563e-4
0.52,-15329.959864206357,-15321.03590346967,2.392804893650171e-5
0.53,-14258.431255047168,-14257.284120675971,0.1298523543309869
0.54,-14627.956650454185,-14621.603713326189,3.6450873451753944e-4
0.55,-15069.482193235604,-15067.50760417891,0.04689426612524188
0.56,-15895.730208643747,-15889.682803363701,5.056235208968347e-4
0.5700000000000001,-15530.889733403708,-15524.856357070574,5.132903087273806e-4
0.58,-15506.274252322013,-15503.14775356288,0.01239833234948809
0.59,-14401.556332772572,-14398.108363784686,0.00863918223034212
0.6,-15357.724012730514,-15354.274851949338,0.008627671201724084
0.61,-15393.6248655907,-15390.845630522252,0.018391479327291627
0.62,-15995.121453611464,-15990.412451833856,0.002148653267444527
0.63,-15490.906795128158,-15487.221856724282,0.006632547741207467
0.64,-15281.590118705148,-15279.198045669731,0.02872288583341928
0.65,-14807.698515778928,-14799.514615814109,5.2163938256771656e-5
0.66,-15299.029578126547,-15292.376356441959,2.644956024487456e-4
0.67,-14453.419312621318,-14450.650727889724,0.0186166705516757
0.68,-14826.76928050635,-14819.259844551216,1.0644141271628134e-4
0.6900000000000001,-15729.62672005619,-15720.25283430238,1.4919760467990697e-5
0.7000000000000001,-15618.4014393794,-15610.578344754123,7.636630804985732e-5
0.71,-15039.054049741897,-15026.498485356737,5.411962422198304e-7
0.72,-16158.44980952957,-16154.587244310918,0.005445742543879074
0.73,-14927.617728476409,-14925.36300642619,0.03370819435009121
0.74,-15118.242967962282,-15111.24540744344,1.8328561791178694e-4
0.75,-14954.81261169868,-14944.035367496508,3.4391685190148297e-6
0.76,-15150.989623567039,-15147.48478921825,0.008107068085305872
0.77,-15145.235704016646,-15130.779236545026,7.570566742382044e-8
0.78,-14830.691002416397,-14823.11220370122,9.889955338759694e-5
0.79,-14610.482912435822,-14596.089623786047,8.080922551049454e-8
0.8,-15999.235440219052,-15983.919543243215,3.119399348624349e-8
0.81,-14763.924064284805,-14754.14424035336,9.750706456032462e-6
0.8200000000000001,-14562.575909724974,-14547.7416666541,5.126143336672629e-8
0.8300000000000001,-15066.72081832707,-15049.851641258501,6.304533841070431e-9
0.84,-15086.694399582431,-15073.821982057336,3.896684431007466e-7
0.85,-15087.777708584641,-15078.632187780802,1.8959666947139493e-5
0.86,-15293.57102359132,-15288.802654164912,0.002013992736654574
0.87,-14844.016455994171,-14835.019129390917,2.215263106912018e-5
0.88,-15519.509016346252,-15512.85644913637,2.6468031536971764e-4
0.89,-15117.170768004662,-15111.728934378098,9.701596397206492e-4
0.9,-15188.575712872884,-15178.31496679576,5.896544235667792e-6
0.91,-16091.639591019577,-16086.542286573873,0.0014085183101330437
0.92,-15162.405310298014,-15156.762422743615,7.810321716836026e-4
0.93,-15324.523411400816,-15308.764167459713,1.9755037690216903e-8
0.9400000000000001,-14314.243526283966,-14294.559046032995,3.508296503229139e-10
0.9500000000000001,-15561.156207913911,-15551.754883059546,1.4496558641298034e-5
0.96,-14897.909053313655,-14875.18647979406,1.5697399503722115e-11
0.97,-15206.926131331471,-15195.36331001674,1.5175335720133813e-6
0.98,-15727.952251319433,-15712.712174051183,3.3729938073861344e-8
0.99,-15534.766293713059,-15520.819766170094,1.2820912204630157e-7
1,-15009.61566369919,-14986.949577979947,1.6629492599859285e-11
