c,null_like,alt_like,p
0,-15531.840855509701,-15532.147644063647,1
0.01,-15149.031214927632,-15149.857940623142,1
0.02,-14413.797824990397,-14414.649186620438,1
0.03,-14842.510433434049,-14843.314205151632,1
0.04,-14876.231375281814,-14876.939500799364,1
0.05,-14655.71221691849,-14656.367507365005,1
0.06,-15704.117837257985,-15704.759615728583,1
0.07,-14937.83087435176,-14938.283927138784,1
0.08,-14961.460169940396,-14961.986226049934,1
0.09,-15078.84678369902,-15079.52596882331,1
0.1,-14713.586922952125,-14714.126220056976,1
0.11,-14616.206117007658,-14616.910233893623,1
0.12,-15653.333638852284,-15651.794453254186,0.07933994504192393
0.13,-14885.36712636606,-14885.637477295648,1
0.14,-15746.483285356942,-15747.117870452588,1
0.15,-15597.577493854884,-15598.434393973252,1
0.16,-15597.487584781176,-15598.130846384405,1
0.17,-15412.504765919766,-15410.91879620826,0.07491344033424208
0.18,-15163.81667494022,-15163.983143276566,1
0.19,-15057.314313086976,-15058.103836331093,1
0.2,-15237.148406806891,-15237.844425215568,1
0.21,-14926.087965456098,-14925.700908992929,0.378947685350618
0.22,-15789.362768946228,-15789.422780581459,1
0.23,-14951.894090962176,-14951.009418144768,0.18346308261475736
0.24,-15229.672777545931,-15229.230931282542,0.3471923167489366
0.25,-15505.762335527845,-15506.4235981145,1
0.26,-14917.30558807125,-14916.37796269406,0.1731739334661313
0.27,-15227.973923752475,-15228.734809207503,1
0.28,-14816.050819365408,-14815.2352993976,0.2015592711737239
0.29,-15433.945449272416,-15433.802508124667,0.592871416793137
0.3,-15676.87354045807,-15676.382100437193,0.32148880312607037
0.31,-14331.089758347314,-14329.87591308972,0.11920841104200165
0.32,-15132.983343941689,-15130.297129216606,0.020457464920965302
0.33,-14130.753047934631,-14131.488165930707,1
0.34,-15070.985510696686,-15070.512485199506,0.3307265238154637
0.35000000000000003,-15625.641633046358,-15624.847852044593,0.2076748015868075
0.36,-15814.371825003278,-15815.00108882584,1
0.37,-15032.077556659518,-15029.31756418881,0.018800420612553354
0.38,-14789.927299194462,-14789.429786978832,0.3185174524567362
0.39,-14884.199464591615,-14880.210110106038,0.004733068366903641
0.4,-14427.028458574274,-14425.398730726036,0.07101269423121515
0.41000000000000003,-15430.875094875393,-15428.531083625901,0.03037358396815584
0.42,-15171.259483750444,-15169.27504731491,0.04634878707831862
0.43,-14533.9256751634,-14529.497237997875,0.002919871356195264
