c,null_like,alt_like,p
0,-14192.770552858878,-14193.111862607475,1
0.01,-15163.169497893536,-15163.654665020027,1
0.02,-14259.72003062188,-14260.54245241511,1
0.03,-15030.660256266698,-15028.362220290071,0.03204529768219632
0.04,-15714.058357706852,-15714.704898978054,1
0.05,-14840.578255452892,-14841.31381872184,1
0.06,-15473.545997942605,-15474.427903154305,1
0.07,-15221.861860882558,-15222.689639125829,1
0.08,-14907.561315929717,-14906.069858920648,0.08414764665588753
0.09,-14783.834752692803,-14784.228679263764,1
0.1,-15516.091532856371,-15516.858302940955,1
0.11,-15654.441564287908,-15653.66405490357,0.21239606138110576
0.12,-14768.280857829346,-14768.2302031165,0.750263894818758
0.13,-15127.226788871058,-15125.63953773616,0.0747959975158628
0.14,-13919.426634863592,-13918.708256463206,0.23066488240645916
0.15,-15205.22126076961,-15204.842760424506,0.38426878187341434
0.16,-15561.732023464987,-15562.42079090442,1
0.17,-14710.628101129763,-14710.745058269165,1
0.18,-15217.564754008155,-15217.883211994675,1
0.19,-15982.458495552954,-15982.09212537383,0.39199637133953247
0.2,-14863.585490591675,-14863.93816457695,1
0.21,-15175.862314567259,-15175.899307532585,1
0.22,-14998.81102679943,-14996.626518076318,0.036598089045111686
0.23,-15055.596575231237,-15056.480037352292,1
0.24,-14189.744045186259,-14190.624219882944,1
0.25,-14578.230920602355,-14579.025296842417,1
0.26,-15260.585934031926,-15261.325961914548,1
0.27,-15098.072304702899,-15098.801763903,1
0.28,-15134.460054863146,-15134.55312946112,1
0.29,-14979.900973752083,-14980.373108964039,1
0.3,-15122.271523021616,-15120.953269040212,0.10443286351465508
0.31,-16350.509555136801,-16348.904500105637,0.07318456029694524
0.32,-15329.422462979343,-15327.782528217998,0.07013450448601972
0.33,-15664.505367709142,-15664.979153147287,1
0.34,-15540.679868098965,-15538.940066822703,0.06212966022182471
0.35000000000000003,-15538.883065139258,-15539.470718777342,1
0.36,-14469.16043550983,-14464.633599794994,0.002621678373839993
0.37,-15440.21786324165,-15433.216395106316,1.82525374060939e-4
0.38,-14753.791095185927,-14754.626641788967,1
0.39,-15036.822350422664,-15036.427866153455,0.37441219914211155
0.4,-15206.933760911235,-15206.71058130063,0.5040689921902315
0.41000000000000003,-15031.901221595264,-15032.086356632646,1
0.42,-14342.01497170163,-14329.21424766779,4.1972429918412207e-7
0.43,-15750.268491533616,-15750.06553925824,0.5240555473107349
0.44,-15184.162620450477,-15181.15887573069,0.014245281308136414
0.45,-16064.44693162254,-16058.65962212724,6.68581337008552e-4
0.46,-15288.080140551629,-15288.799482874685,1
0.47000000000000003,-15659.331324861481,-15658.964174460056,0.3914926731354073
0.48,-15689.373201973778,-15682.65267855642,2.461782150969966e-4
0.49,-15470.176830013712,-15464.917032747999,0.0011811539754712527
0.5,-14079.251851738001,-14075.22570943122,0.004544630735712904
0.51,-15635.403168137604,-15630.355267354596,0.0014860750644612663
0.52,-14726.376165094607,-14726.236070762356,0.5965775860097567
0.53,-15351.081925767832,-15346.28113082991,0.00194408972679328
0.54,-15257.110326255199,-15250.457109071254,2.644968722252256e-4
0.55,-15568.166682958918,-15561.52972604118,2.691247653987892e-4
0.56,-14580.601308877884,-14579.336991232954,0.11179686909334569
0.5700000000000001,-14647.234508999594,-14643.50996480086,0.006346858590927779
0.58,-15033.84893788021,-15025.069041371311,2.784132081213876e-5
0.59,-14616.35572206407,-14609.019982454824,1.279680367598355e-4
0.6,-15243.028378164823,-15240.114471508225,0.015774719713890287
0.61,-14831.462569293833,-14827.210053868524,0.003541659072668658
0.62,-14748.36424232621,-14744.838923198071,0.007923701274247411
0.63,-15131.211901896131,-15122.360962697161,2.583713378273053e-5
0.64,-15647.563926211551,-15643.836768514477,0.006328454337279174
0.65,-15006.246439065913,-15000.612048298159,7.882144845776281e-4
0.66,-15182.37398885751,-15173.05733830223,1.5842884614531338e-5
0.67,-15504.135312420882,-15499.306434935064,0.0018855390781170275
0.68,-14901.03719261191,-14896.77108194193,0.0034891359635851574
0.6900000000000001,-15813.320019016352,-15804.750437130582,3.473855946692566e-5
0.7000000000000001,-14346.196910632165,-14334.172880405795,9.396086016043218e-7
0.71,-15218.351005402425,-15205.536087027449,4.135945804524455e-7
0.72,-15399.555189753088,-15383.401585277492,1.316240997904321e-8
0.73,-15511.800560822037,-15499.452084994768,6.709020548600978e-7
0.74,-14810.793954790057,-14797.337546874762,2.1284283640504778e-7
0.75,-14769.548175614713,-14762.089148253988,1.1228323404370546e-4
0.76,-15625.458457929242,-15619.580462579204,6.06477218352583e-4
0.77,-14438.689867694513,-14434.006977086268,0.0022107375539870073
0.78,-15405.880027141251,-15394.834029052048,2.5989109340000596e-6
0.79,-14690.428423333422,-14681.653336357851,2.798251831924091e-5
0.8,-15431.477581875668,-15420.030775857678,1.7121993056040129e-6
0.81,-14850.382065180182,-14840.555933858315,9.289324782171442e-6
0.8200000000000001,-14940.653919705694,-14937.35085689169,0.010162853938485136
0.8300000000000001,-15784.697794108804,-15783.673510210689,0.15234944732892575
0.84,-15157.07006839985,-15146.110002435651,2.842363815723332e-6
0.85,-15700.03012277667,-15690.313756899046,1.042057414329129e-5
0.86,-14733.786063204292,-14723.944613683083,9.14157865661742e-6
0.87,-14558.66121664144,-14551.590751137808,1.6961277027870714e-4
0.88,-15571.709345565185,-15556.818597403293,4.835855527923976e-8
0.89,-15123.462073920851,-15103.089836720568,1.7349332216377386e-10
0.9,-14823.530268287032,-14810.43913490452,3.1066234496838485e-7
0.91,-13994.456951669705,-13982.787111788924,1.35770013099409e-6
0.92,-15260.453563948413,-15250.23185220061,6.142024738915762e-6
0.93,-15237.905667126379,-15226.043163700691,1.1112915781405073e-6
0.9400000000000001,-15533.254367837626,-15520.471482589815,4.275571619344959e-7
0.9500000000000001,-14689.406439083428,-14664.235453046096,1.291573781218561e-12
0.96,-14539.913459435642,-14521.494689303985,1.283940170822321e-9
0.97,-15500.803600616382,-15492.437051583747,4.302383010995076e-5
0.98,-14849.730383477907,-14829.984489365117,3.2944186296224055e-10
0.99,-14863.900942610273,-14853.098149427566,3.3487505088116884e-6
