c,null_like,alt_like,p
0,-15711.142087602742,-15711.69415824893,1
0.01,-15512.590747050855,-15513.337567413972,1
0.02,-15165.558560553407,-15166.228342988441,1
0.03,-15215.150498940193,-15215.677385307656,1
0.04,-15424.443002220447,-15425.103191389411,1
0.05,-13777.52151329144,-13777.434095035132,0.6758487360393373
0.06,-15240.088750880452,-15240.355452206848,1
0.07,-14994.664659564072,-14995.595973204576,1
0.08,-15772.533420947437,-15773.321845001426,1
0.09,-15512.089726726932,-15512.753763580515,1
0.1,-14247.415758547579,-14247.101910642781,0.428201767808137
0.11,-15160.899238311751,-15161.009492111836,1
0.12,-15126.5878531555,-15127.251892931095,1
0.13,-14700.880327411573,-14701.418594385555,1
0.14,-15179.212125259543,-15179.050446341911,0.5695966623687967
0.15,-15505.650919467216,-15506.503761252725,1
0.16,-15363.029748642854,-15362.69841386908,0.4156190716413651
0.17,-14622.734520444077,-14623.2919361311,1
0.18,-14618.44347214724,-14618.693722757085,1
0.19,-14942.217763734518,-14939.197233621584,0.013976887962032192
0.2,-15188.97012965029,-15189.768921770701,1
0.21,-15264.088103192518,-15262.921281611665,0.1266052627418537
0.22,-15937.332153651365,-15937.073801025916,0.47225052209927987
0.23,-15195.902384226887,-15192.511205979868,0.009206326876195029
0.24,-14925.182374700164,-14923.235408132869,0.04846080885452188
0.25,-15110.798954854854,-15111.634596735075,1
0.26,-15521.882883651166,-15521.032757313302,0.19225493595419302
0.27,-14597.581005933906,-14598.202820247885,1
0.28,-15270.65958208503,-15269.03182081161,0.0711832452843407
0.29,-14744.264925410893,-14739.571602826622,0.0021857181743954604
0.3,-14998.196887509199,-14995.741694546852,0.026695675880428236
0.31,-14851.493925759294,-14852.124696730742,1
0.32,-15442.945268690757,-15442.076562654911,0.1874670687055116
0.33,-15479.863160178911,-15479.081893045019,0.21129454022039748
0.34,-14567.888466369359,-14566.260637158777,0.07117734612568169
0.35000000000000003,-14841.755978059498,-14839.939731372287,0.05666186821919613
0.36,-14977.899445156614,-14975.550391123168,0.030195839265140526
0.37,-14988.899994233683,-14989.355726846927,1
0.38,-15189.197376652392,-15188.215086440538,0.16102429639594887
0.39,-15418.015647739378,-15411.427620746572,2.8354920282661983e-4
0.4,-14646.454011802361,-14646.917541398072,1
0.41000000000000003,-14882.383727319831,-14877.547850161704,0.0018712254856799175
0.42,-14876.661683619634,-14874.498636634416,0.037532281027235465
0.43,-15248.983409620674,-15248.77580300582,0.5193352654056481
0.44,-15491.483517135941,-15490.182340666137,0.10670519001608442
0.45,-15459.49240971473,-15452.218071163345,1.3658451905454506e-4
0.46,-15220.493349952867,-15220.170470931382,0.4216333851476994
0.47000000000000003,-14875.072261236459,-14867.424665678807,9.195029393570694e-5
0.48,-14832.723890895473,-14820.119836198626,5.146534094608152e-7
0.49,-15897.80478325352,-15896.348384325685,0.08787930008113705
0.5,-14997.16610835847,-14997.23274241383,1
0.51,-15072.357507605175,-15059.731249834864,5.029393136436825e-7
0.52,-15320.970875226929,-15317.312557213381,0.006831917504147727
0.53,-14985.582710298288,-14983.69350446568,0.05191792216423926
0.54,-14463.461591912368,-14463.68050201629,1
0.55,-15143.113207849286,-15135.02205115149,5.752874483799587e-5
0.56,-14869.311044667673,-14858.418178559192,3.0485878805686585e-6
0.5700000000000001,-14620.499194308813,-14619.671698262982,0.19828084034506607
0.58,-15058.284062904813,-15058.396066198049,1
0.59,-15643.823590739088,-15633.916817012796,8.537541549931933e-6
0.6,-15170.186804410292,-15161.465410464645,2.96085488772441e-5
0.61,-14498.111038001938,-14485.964850043727,8.276601043120835e-7
0.62,-14871.714656698385,-14853.087171037583,1.0365042890229975e-9
0.63,-15579.818797756789,-15574.667430212723,0.0013283318446647148
0.64,-15847.46920983095,-15840.287396427115,1.5068514983250086e-4
0.65,-14819.566215936487,-14818.139741180119,0.09120646721410186
0.66,-15048.368457531255,-15045.423092836243,0.015220794835494074
0.67,-15266.172294311918,-15262.582582548084,0.007374439839782365
0.68,-15671.660577093724,-15661.058461483017,4.1285207069835474e-6
0.6900000000000001,-15211.865366337986,-15206.445822714157,9.937970833426271e-4
0.7000000000000001,-15524.935075913561,-15516.810428616398,5.553026545613613e-5
0.71,-14713.729780948339,-14710.311725430241,0.008933311225898955
