c,null_like,alt_like,p
0,-15011.958524673273,-15012.371250675913,1
0.01,-15816.739273111953,-15816.514215406316,0.5022801524866086
0.02,-14778.242893343797,-14778.525513617347,1
0.03,-13975.031279779205,-13973.946784289004,0.14081860386504805
0.04,-16223.582830548276,-16224.08632004497,1
0.05,-15363.445214879339,-15364.085282494001,1
0.06,-15047.997089416807,-15048.748065166526,1
0.07,-14726.76816694109,-14727.54074985759,1
0.08,-15584.828059191617,-15585.172354252156,1
0.09,-15990.877618260225,-15990.89580485299,1
0.1,-15211.95583594399,-15209.992081195014,0.04750224366700268
0.11,-15738.45488281328,-15737.975183060877,0.3273382185005597
0.12,-14973.560010879524,-14974.403264737764,1
0.13,-15490.969230525525,-15491.926531427527,1
0.14,-14542.318712609918,-14538.754951004694,0.007590951304217025
0.15,-14532.74840828884,-14533.084677849612,1
0.16,-15844.275504623522,-15844.604646168365,1
0.17,-15640.124878798539,-15640.810995927048,1
0.18,-14568.065767721215,-14568.759888421308,1
0.19,-14752.404973837587,-14752.831888117526,1
0.2,-14846.44118741208,-14844.227915937654,0.03538410775746769
0.21,-14855.301420187647,-14856.166384441716,1
0.22,-15511.798913192553,-15512.454460811678,1
0.23,-15226.532653604228,-15226.852514725953,1
0.24,-15564.936429655387,-15564.0680613796,0.1875528590213045
0.25,-15237.341596156597,-15238.155142337422,1
0.26,-14630.770749753965,-14631.574967449425,1
0.27,-15158.50048174142,-15151.223669250654,1.3622630859175909e-4
0.28,-14880.613198805904,-14881.386729197531,1
0.29,-14734.274002079734,-14732.303307798158,0.047111874910194806
0.3,-15483.17166639916,-15483.94082965262,1
0.31,-15180.648293602395,-15181.308219069691,1
0.32,-15407.110178376553,-15405.807986609641,0.10656858985193753
0.33,-14965.046060116394,-14963.114901606274,0.04938208801826654
0.34,-14727.637077724588,-14723.140490530986,0.0027098985664307557
0.35000000000000003,-15535.35823247892,-15535.145266718268,0.5139920714691799
0.36,-14936.795963258402,-14933.790504419916,0.01421763159698427
0.37,-15427.336932890697,-15426.903897263523,0.3520452526047779
0.38,-15449.052066550275,-15442.145739875055,2.0197142168950862e-4
0.39,-14407.090663574267,-14403.868177911698,0.011126683807706712
0.4,-15762.398442409047,-15759.963864014513,0.02734085671890704
0.41000000000000003,-14292.995353223932,-14293.296813062494,1
0.42,-14922.508144638028,-14921.878978364459,0.26196695279404686
0.43,-15118.030271152174,-15113.039559434723,0.0015812739673501583
0.44,-14814.923825468726,-14812.001462657803,0.015623809952322485
0.45,-15360.15720126457,-15351.76045040485,4.167577436558282e-5
0.46,-14596.433045054628,-14596.74921242567,1
0.47000000000000003,-15081.133213361461,-15081.031612500661,0.6521488262653454
0.48,-15708.845610818962,-15704.91739662981,0.005064032898574082
0.49,-15625.115926798697,-15624.41819056562,0.23748310068814266
0.5,-14745.965672032853,-14741.711974196185,0.0035370592635193482
0.51,-14985.491768412807,-14981.7564450004,0.006271301593296643
0.52,-14807.748988829806,-14808.25574863313,1
0.53,-15110.295957072965,-15097.04197925483,2.6245502325632364e-7
0.54,-14668.388318038478,-14658.83404172387,1.234902564147969e-5
0.55,-15040.396115501884,-15037.730121453085,0.020937488737357932
0.56,-15592.40398097533,-15586.12943425552,3.9639856380098876e-4
0.5700000000000001,-14916.136278704222,-14910.478196964163,7.683530153841493e-4
0.58,-14856.405902940613,-14850.802709666097,8.15162952492443e-4
0.59,-15645.60880248823,-15635.939546973665,1.0947594115995259e-5
0.6,-15750.675880709241,-15741.99350504646,3.0849449454314575e-5
0.61,-15110.222375155496,-15096.84239049251,2.3036020636010254e-7
0.62,-15002.4942530488,-14988.987282843147,2.019934202848822e-7
0.63,-14926.1193362775,-14920.913162570672,0.0012517552615637982
0.64,-14935.425074034647,-14923.794220332647,1.4138714988426848e-6
0.65,-15029.210672431343,-15025.19592916844,0.004602188441505054
0.66,-15295.535932370896,-15291.075878585612,0.0028204789877838816
0.67,-15105.600292155805,-15095.448057791955,6.6046148112714655e-6
0.68,-14646.742642405668,-14635.206925143488,1.5609258687463965e-6
0.6900000000000001,-15466.929833415159,-15460.679765107845,4.0692225999362525e-4
0.7000000000000001,-15298.75951573452,-15295.917382398571,0.01711769196690442
0.71,-14555.091374944534,-14544.881480972295,6.218348635118729e-6
0.72,-15041.680796817256,-15039.994931642006,0.06632406064275281
0.73,-15402.82914457368,-15393.91339697146,2.413549874759291e-5
0.74,-15193.96336828847,-15182.412995540479,1.5373108342859054e-6
0.75,-15150.880795951485,-15146.289575461862,0.002443479262869904
0.76,-14774.63989980493,-14759.333130830411,3.148888919069745e-8
0.77,-15460.919129834709,-15445.642420771514,3.247991261133302e-8
0.78,-15364.858667520624,-15352.72887550711,8.418713235318546e-7
0.79,-15629.762636806803,-15614.11357779947,2.2129405736000456e-8
0.8,-15759.240280067972,-15757.682345048828,0.07753306165172738
0.81,-14995.41494412399,-14991.356699001184,0.004386439898022816
0.8200000000000001,-15604.855210939044,-15599.335991657672,8.92419945608246e-4
0.8300000000000001,-14887.798848430873,-14880.614941211856,1.5035038626141637e-4
0.84,-15061.245338590388,-15057.565622499069,0.0066711855940799905
0.85,-15050.145935851719,-15041.028064210303,1.9518139081714324e-5
0.86,-14800.552900947792,-14792.65002878064,7.018908988494722e-5
0.87,-15541.368510853363,-15530.846520693676,4.488608206251046e-6
0.88,-15162.25119951601,-15143.391280379845,8.166975987777195e-10
0.89,-15635.172316762246,-15621.813108137216,2.3536740731398208e-7
0.9,-14665.057335456744,-14653.821502565386,2.1326632390831135e-6
0.91,-15380.013512277983,-15372.31603629134,8.722098921072861e-5
0.92,-14945.76770441319,-14935.801193117271,8.020297704383837e-6
0.93,-15039.447367295768,-15027.603550363052,1.1330827514828742e-6
0.9400000000000001,-15504.179999706315,-15492.814914587887,1.8641789645930976e-6
0.9500000000000001,-15328.508425731245,-15309.674164473736,8.384671238054588e-10
0.96,-14652.582738625859,-14640.508462619295,8.918319843093882e-7
0.97,-14991.69998065394,-14984.156616443504,1.0268266835342526e-4
0.98,-14509.20390280778,-14497.192075047504,9.515936707323351e-7
0.99,-14830.221143684494,-14817.146022127676,3.1585733931267507e-7
1,-15343.834673096806,-15337.740217271908,4.807442344004827e-4
