c,null_like,alt_like,p
0,-27795.732249075805,-27796.327127696797,1
0.01,-28445.395179987037,-28445.954615882572,1
0.02,-28835.01250842102,-28835.60167316533,1
0.03,-26868.255897588224,-26868.41663855868,1
0.04,-28333.36191302599,-28333.565309210917,1
0.05,-27786.702972407948,-27787.263648446267,1
0.06,-28729.882105625868,-28730.225304411448,1
0.07,-27549.994596404096,-27550.58688233297,1
0.08,-26990.59114957949,-26991.228313370342,1
0.09,-27922.925274858815,-27923.54414055464,1
0.1,-27536.60071759038,-27536.97155229714,1
0.11,-28158.38960785682,-28158.99342025372,1
0.12,-28055.92235629023,-28055.980028088405,1
0.13,-28027.852856153506,-28026.63990297381,0.11934419655468338
0.14,-27179.110863851503,-27178.919284085514,0.535917140063853
0.15,-27818.054628142832,-27818.192413316632,1
0.16,-28717.543682288266,-28717.772766968807,1
0.17,-27495.62681030391,-27495.52850801709,0.6574756092846602
0.18,-27271.355922518156,-27270.524175182698,0.19713214023426118
0.19,-28108.522718637956,-28104.679814668427,0.005565675741580826
0.2,-27704.94132584915,-27705.125875068563,1
0.21,-27706.3980849762,-27706.04655475454,0.40175724782739775
0.22,-28439.194473226627,-28439.1110006668,0.6828411709110512
0.23,-27607.715053087897,-27608.301265380982,1
0.24,-27900.172109310737,-27899.881560652222,0.4458825288546339
0.25,-27183.27118418256,-27183.14324271745,0.6129628517543224
0.26,-27148.745033186893,-27148.68581666777,0.7307402390193952
0.27,-27978.139907390632,-27978.43650130582,1
0.28,-28272.249654045172,-28272.421936684423,1
0.29,-27770.241171908914,-27769.827874578015,0.36325906994744095
0.3,-27378.99782306771,-27379.701037225765,1
0.31,-28214.08526268759,-28214.204137725697,1
0.32,-27906.41001382352,-27905.489800591396,0.17490097125961154
0.33,-28178.587881645286,-28178.095407551038,0.32098022379766833
0.34,-27821.726713471428,-27817.712095891737,0.00460282718030009
0.35000000000000003,-28805.62231621294,-28798.357037726466,1.379044732885434e-4
0.36,-28763.090348863345,-28762.622704177873,0.33349224659568427
0.37,-28311.08993291408,-28308.285373893166,0.017867253696257673
0.38,-27356.537629412356,-27356.890570203832,1
0.39,-28005.069274921454,-27999.856052795996,0.0012422367613848036
0.4,-28162.281844545254,-28162.81982868859,1
0.41000000000000003,-28150.047506224717,-28147.57656838573,0.026213575467116234
0.42,-27579.197099590216,-27578.137966656534,0.14555126531498683
0.43,-27866.688743388575,-27867.297186593038,1
0.44,-27257.476098209314,-27254.68436401433,0.018130781233757078
0.45,-28107.508770467808,-28106.04232299401,0.08679173319603538
0.46,-28207.849664285837,-28207.896371878083,1
0.47000000000000003,-28217.660670137506,-28216.48365295292,0.12495924112326352
0.48,-27260.83086199442,-27260.9610014555,1
0.49,-27911.12932172317,-27908.370553240118,0.018826748295156796
0.5,-28032.77333117318,-28027.01351089952,6.8864704375818e-4
0.51,-27772.146303541802,-27772.59958231851,1
0.52,-28143.446153595254,-28140.93682122026,0.025075498302090278
0.53,-28330.44317681639,-28330.692020748287,1
0.54,-27451.035257578547,-27449.68428731635,0.10022618991883847
0.55,-27895.679255744642,-27895.25834534726,0.3588765413612623
0.56,-27713.22478983597,-27706.99868126736,4.174959419859689e-4
0.5700000000000001,-28500.43164699759,-28500.371236495044,0.7281457436450294
0.58,-27546.863744913757,-27543.174819265336,0.006603201565178799
0.59,-27507.784977315223,-27506.71491980245,0.14349113208763484
0.6,-27451.296540475378,-27447.00921502427,0.003408753069761737
0.61,-27207.861084799184,-27202.683897871844,0.0012916827048696394
0.62,-28213.263383580255,-28200.33749333445,3.6866447431882585e-7
0.63,-27166.652315700645,-27159.205756773063,1.1377731352748939e-4
0.64,-28370.020008509364,-28359.664723224563,5.342028714632105e-6
0.65,-27399.462215951153,-27397.23009387575,0.034611399577948135
0.66,-27335.41307195392,-27328.706935617884,2.4998335836667006e-4
0.67,-28009.284689066204,-28006.598586156902,0.02046008780067037
0.68,-27301.497714395347,-27294.586085606374,2.008347451566496e-4
0.6900000000000001,-28175.51675929256,-28173.948189420622,0.07652790428208028
0.7000000000000001,-29412.44296378946,-29410.929945690277,0.08193796455013712
0.71,-27873.279351215613,-27867.35803588618,5.788998594540134e-4
0.72,-28002.042018214153,-27998.399714116495,0.006954789777676776
0.73,-28195.642232514354,-28186.590268142478,2.0916940566060307e-5
0.74,-27215.439575628225,-27212.288350235678,0.012057116741071473
0.75,-27911.7669006754,-27903.37989568587,4.2106074789288315e-5
0.76,-28328.491877560526,-28322.373029750383,4.683363370594559e-4
0.77,-28874.20882514683,-28867.85215394764,3.6305595239498453e-4
0.78,-27941.289919362418,-27932.504548320645,2.7681471427388966e-5
0.79,-29178.46673996047,-29173.687885800082,0.0019911152589082407
0.8,-28177.714934826443,-28165.139326142253,5.300618236450283e-7
0.81,-27955.83822577541,-27950.446525496725,0.0010241435994002954
0.8200000000000001,-28513.293583593295,-28502.077315826587,2.1765557134319976e-6
0.8300000000000001,-29205.455216493083,-29194.146513513322,1.9768551071528517e-6
0.84,-28249.863699978687,-28239.058344980425,3.3398168468382497e-6
0.85,-27941.05753789424,-27927.904848159924,2.914756712167683e-7
0.86,-27514.574339402556,-27504.353128500854,6.145240239707641e-6
0.87,-27995.068089558208,-27988.422781449204,2.6673779688416414e-4
0.88,-28581.117615277963,-28568.133722244744,3.4716217355528377e-7
0.89,-27515.914570030105,-27507.16222512468,2.8659985025198423e-5
0.9,-29020.34998461395,-29014.483151107783,6.137953153986566e-4
0.91,-28949.70973525181,-28942.46367541955,1.407471005868221e-4
0.92,-28010.885565176857,-28002.737165603172,5.4155352470086605e-5
0.93,-27873.120857616384,-27867.221887352487,5.929627974956994e-4
