c,null_like,alt_like,p
0,-27634.274258812497,-27634.500356257657,1
0.01,-27949.471484635837,-27949.62696297506,1
0.02,-28422.073373208936,-28422.660994649323,1
0.03,-28425.13345507126,-28425.43410243557,1
0.04,-27748.295100982275,-27748.981193469997,1
0.05,-28507.189764195577,-28507.736218151935,1
0.06,-28694.713272045465,-28695.386942037017,1
0.07,-28400.668612695845,-28400.395940569193,0.46022629464553855
0.08,-28312.578292492683,-28313.09828332883,1
0.09,-28005.74678010985,-28005.97097789464,1
0.1,-28022.933879811328,-28023.51879366942,1
0.11,-28221.822257877004,-28222.335023389078,1
0.12,-28402.36313651589,-28402.364776349117,1
0.13,-27855.356354473573,-27855.284319413353,0.7042678261763966
0.14,-28028.44572785252,-28028.895392095747,1
0.15,-26888.008664876525,-26888.700034498233,1
0.16,-28625.687043207945,-28626.241400163162,1
0.17,-28319.941645274022,-28320.62702798809,1
0.18,-26974.13148729443,-26974.442754318425,1
0.19,-28694.602847681104,-28694.496159369417,0.6441336166521185
0.2,-27640.753590172095,-27641.377081102615,1
0.21,-29175.967978560813,-29176.56274475888,1
0.22,-27724.04407684552,-27723.832227747287,0.5150974607338302
0.23,-26716.12546992883,-26714.12510459312,0.045480543571456665
0.24,-28078.141682747137,-28078.657114904578,1
0.25,-27611.565850144612,-27609.72739805845,0.055171200309468364
0.26,-28009.773958663107,-28010.319957845437,1
0.27,-27707.88788251217,-27706.792483393787,0.13883734724866106
0.28,-28232.076467995987,-28231.35972612599,0.23119673069472488
0.29,-27033.06235433106,-27032.504433345028,0.29081554982240293
0.3,-27323.364666446036,-27322.289528718095,0.14254431358794095
0.31,-28286.68805149747,-28285.738774969093,0.16824036746667198
0.32,-27904.689770056626,-27900.32502522382,0.003131041213180918
0.33,-28127.770186021957,-28128.39719249827,1
0.34,-26976.905317602814,-26972.40401280317,0.002695943740261214
0.35000000000000003,-26868.39347004752,-26867.407686597693,0.16028164259230843
0.36,-28736.184197324477,-28732.63720710117,0.00773432775725587
0.37,-28635.100111996555,-28634.72867755943,0.3887434224212035
0.38,-28070.793632397024,-28070.677059287264,0.6292007039195735
0.39,-28483.622292002587,-28480.516922663865,0.01269776341222239
0.4,-27979.176584897217,-27975.736913412653,0.008719761220974351
0.41000000000000003,-27591.25293836482,-27591.306519036138,1
0.42,-27827.953543824842,-27827.298339342833,0.25232062355453017
0.43,-27952.977415538597,-27949.46693947226,0.008056138114295992
0.44,-28070.21715842517,-28066.989159816687,0.011057846554756503
0.45,-28345.40944096671,-28338.79999557022,2.7714158257254924e-4
0.46,-26866.145023028592,-26864.637023834206,0.08244667159357329
0.47000000000000003,-28684.896272651935,-28678.600430086928,3.874666423290105e-4
0.48,-28409.11601119188,-28409.167172997015,1
0.49,-28184.444861921133,-28180.995859528375,0.00862920010373694
0.5,-28176.088390730627,-28173.44167051399,0.021405890615043364
0.51,-27086.948787849466,-27082.226421601026,0.0021175638228098283
0.52,-28013.455454024454,-28010.723571386334,0.019414767121371853
0.53,-26372.20826533539,-26366.49859497197,7.26834822028049e-4
0.54,-27906.696458498634,-27903.8849390942,0.0177258886672105
0.55,-26531.080772487807,-26530.446198726735,0.2599266650883495
0.56,-27496.390716298945,-27493.29383507727,0.012820133986067786
0.5700000000000001,-28784.359536634503,-28772.794183220063,1.5135421193678586e-6
