c,null_like,alt_like,p
0,-28307.45253712277,-28307.808954783482,1
0.01,-27218.679521242782,-27218.237761603177,0.3472395856305045
0.02,-28397.003478656803,-28397.294402848678,1
0.03,-27860.7721355641,-27860.456283389918,0.42673083613675056
0.04,-27507.280639871064,-27507.806148154024,1
0.05,-28418.285957841945,-28418.773421785878,1
0.06,-28396.942138122744,-28397.40394896191,1
0.07,-28430.530011730672,-28430.759622989557,1
0.08,-28054.32044636169,-28054.701843093437,1
0.09,-27433.363647362123,-27433.994993547378,1
0.1,-28589.39643252309,-28589.993683396293,1
0.11,-28516.734208595717,-28517.36691443359,1
0.12,-27837.090122761278,-27837.69055590508,1
0.13,-28285.322920705876,-28285.934296632666,1
0.14,-27768.439199228065,-27769.133783022367,1
0.15,-27393.151956303907,-27393.604898238726,1
0.16,-27739.486805237128,-27739.90911394854,1
0.17,-27618.27515865951,-27618.12930787014,0.5891321764294237
0.18,-28338.442374543767,-28338.77553853232,1
0.19,-27685.94171611764,-27686.29500579415,1
0.2,-27784.48748430008,-27782.206862720177,0.03270332697680048
0.21,-28063.635503679376,-28064.167888343218,1
0.22,-28463.450243290466,-28464.118431104496,1
0.23,-27604.770079301095,-27603.7914410315,0.16180488741926452
0.24,-28360.69389822099,-28361.208312430663,1
0.25,-27955.655727403853,-27955.825950194612,1
0.26,-27265.955583862204,-27263.54139384086,0.02799492308313244
0.27,-28095.23230220891,-28092.921830549192,0.0315838640538236
0.28,-27795.89824623995,-27794.316807764557,0.07533032076163072
0.29,-28787.288693611317,-28787.630588802695,1
0.3,-27165.564672301058,-27165.74351223629,1
0.31,-28440.810231495136,-28436.718518884492,0.00422748613297805
0.32,-27865.857430578468,-27866.290730253873,1
0.33,-28258.990547087276,-28257.70897256567,0.10938051313515913
0.34,-27571.459901340088,-27569.84886004174,0.07265114381701206
0.35000000000000003,-27279.8555648407,-27278.211986171445,0.06982381065728561
0.36,-27001.74914757588,-27000.468795867117,0.10954983053520034
0.37,-27947.837689384825,-27946.35094712612,0.08463936333787621
0.38,-28044.5299347741,-28040.14807249602,0.0030728088626390784
0.39,-27716.88987127026,-27716.03108934652,0.19000693351890505
0.4,-28303.37381717996,-28300.568339318972,0.017848525622012112
0.41000000000000003,-28597.3815173534,-28596.77431980927,0.2704634294877475
0.42,-27513.77170426891,-27510.885384418503,0.016277566377962342
0.43,-28099.676868701707,-28098.099285804663,0.07568700265014953
0.44,-28060.252678335644,-28056.045833331995,0.0037240603138645194
0.45,-27937.167366278554,-27936.904329173958,0.4682620358732605
0.46,-27645.43586764541,-27643.01044748777,0.027632667224526918
0.47000000000000003,-27023.79481239822,-27017.73163235733,4.971405997812714e-4
0.48,-27734.166202853372,-27732.402627421336,0.0603714462507182
0.49,-27885.701430727517,-27884.517929951486,0.12392487592556244
0.5,-28202.264780952588,-28199.959410651787,0.03177230872949543
0.51,-27794.3043691321,-27788.267355483156,5.112913270062413e-4
0.52,-28941.68795101674,-28939.438595983615,0.033920432304369676
0.53,-28264.552676697695,-28263.860734510978,0.2394406038008879
0.54,-28150.68799798918,-28145.705090731375,0.0015947361050442004
0.55,-28096.17806877055,-28092.583681102755,0.0073361033243671435
0.56,-27608.103265842637,-27607.491982684132,0.2688575986559616
0.5700000000000001,-28403.741955025107,-28400.028301850423,0.0064241433277004425
0.58,-27505.215853594116,-27498.743384546404,3.207877060841402e-4
0.59,-28099.10016051042,-28092.4082128894,2.53794096117382e-4
0.6,-27824.20913976623,-27820.604165397694,0.0072500565097670016
0.61,-27533.465683252896,-27533.44399985747,0.8350361537613209
0.62,-27162.694550322743,-27152.689298836183,7.701796915918315e-6
0.63,-28094.431324796245,-28092.08680020437,0.030355440264319973
0.64,-28135.440579726306,-28126.897842321356,3.573456651229882e-5
0.65,-28558.370005717956,-28549.83362452146,3.5974572904117645e-5
0.66,-28738.410378853096,-28726.383996806268,9.373161382467635e-7
0.67,-27963.438262187246,-27960.160059872513,0.010450730964066622
0.68,-28506.384655611026,-28492.727003478354,1.7283800096474663e-7
0.6900000000000001,-28214.053045256784,-28206.11278990838,6.746993958378534e-5
0.7000000000000001,-27785.508479382588,-27780.767583311248,0.0020752114914408784
0.71,-28695.594971880306,-28690.712250129767,0.001778226138702308
0.72,-28307.17888957718,-28297.756789125913,1.418416795273051e-5
0.73,-27917.44294740249,-27906.36667551273,2.5182207958648224e-6
0.74,-27573.751728294825,-27562.605811204274,2.34200411635507e-6
0.75,-28914.80252462268,-28908.695586219437,4.743536013900951e-4
0.76,-27577.31296722002,-27568.21019649814,1.983010274555179e-5
