c,null_like,alt_like,p
0,-27772.53738675558,-27772.432474815156,0.6469054794008446
0.01,-27827.982810850917,-27828.503180156593,1
0.02,-28790.14262333895,-28790.63824490684,1
0.03,-26919.396947006495,-26920.079244682536,1
0.04,-27408.921205275237,-27409.02372253324,1
0.05,-28344.4070190183,-28344.94730590467,1
0.06,-28022.65643115509,-28022.348036544732,0.4322429400403164
0.07,-26960.503609586118,-26960.08140215613,0.3581371636740825
0.08,-28365.45941608719,-28365.84063371832,1
0.09,-27632.867877552788,-27633.488117383593,1
0.1,-27824.762300514933,-27823.97142790921,0.2085094888859952
0.11,-27571.58809679937,-27572.125034727935,1
0.12,-26780.553235170548,-26780.477251217588,0.6966618060560068
0.13,-27613.96086481506,-27614.508566328263,1
0.14,-27569.22417560785,-27568.81895897033,0.36799218380378906
0.15,-27547.615013922234,-27547.48514579999,0.6103014162597383
0.16,-27677.497654247487,-27677.784938360546,1
0.17,-27748.868851845982,-27748.994732245254,1
0.18,-26689.77414643355,-26689.665102405048,0.640500600421203
0.19,-27651.22641104342,-27651.436403665288,1
0.2,-27863.1572046178,-27863.77729650049,1
0.21,-28067.72501334302,-28065.565347028307,0.037681697940023406
0.22,-27902.429439765052,-27903.04022111193,1
0.23,-27920.234935211432,-27920.777522396682,1
0.24,-27544.704367796647,-27544.926271337026,1
0.25,-28635.27267652407,-28635.59517561679,1
0.26,-27710.545026835443,-27710.182849716366,0.3947193436257727
0.27,-28059.451904506277,-28059.24035233396,0.5153920871645026
0.28,-28883.47870156271,-28881.986929616665,0.0841149110419894
0.29,-28099.601117848633,-28097.949412702328,0.06913620977716656
0.3,-27739.979078929147,-27739.74346563798,0.49242342390396565
0.31,-27969.893181973497,-27967.63312027217,0.03349841513730961
0.32,-27135.48796244633,-27134.902486921797,0.27920591169732556
0.33,-28099.11256588807,-28099.38385025787,1
0.34,-28826.989568504985,-28825.123122143308,0.05335092281408564
0.35000000000000003,-27797.636081077533,-27797.319305991266,0.42605606987707806
0.36,-26636.166654939883,-26636.76707658409,1
0.37,-26995.588352862582,-26992.72541429064,0.016716684164348777
0.38,-28087.567375105496,-28085.62087859169,0.04848793977646899
0.39,-27617.430131014688,-27617.29210067225,0.5992948852442184
0.4,-27770.107924725322,-27767.781246493694,0.03099288945304038
0.41000000000000003,-28351.130356168094,-28350.362861548183,0.21536519049441694
0.42,-28173.844658120284,-28173.39641531423,0.3437257988204009
0.43,-27618.94640897893,-27617.132022206246,0.056788650896285674
0.44,-28511.885922204587,-28510.310654908273,0.0759020923128956
0.45,-27445.176288548075,-27443.588386099273,0.07473638022765101
0.46,-27804.658099957847,-27800.198477539394,0.0028218116779429106
0.47000000000000003,-29103.663842641337,-29100.09631836929,0.0075591596451418525
0.48,-27876.05036322619,-27875.06298002248,0.1599428422932404
0.49,-27021.56521836717,-27014.71877143181,2.1526749252379372e-4
0.5,-28203.791708418586,-28198.572818889385,0.0012346363946849944
0.51,-28335.08873465286,-28334.67548478487,0.36328662353407026
0.52,-27822.237436552186,-27821.103447209724,0.13207205867432156
0.53,-28121.956619270353,-28121.675502802835,0.4533619556549638
0.54,-27486.255959945243,-27483.77858129559,0.026018976857426865
0.55,-27390.817920499125,-27387.59806590302,0.011159691397401451
0.56,-28048.264983030997,-28048.798426595775,1
0.5700000000000001,-27683.594651078438,-27676.493378239968,1.6414829328587093e-4
0.58,-26567.708493823073,-26563.087743077915,0.0023659087600987317
0.59,-27736.250329407627,-27732.17008548347,0.004281285352235834
0.6,-27269.94526289545,-27265.431217141137,0.0026586190750163066
0.61,-27527.5281078863,-27522.466071835035,0.001463453145486008
0.62,-27155.33252975793,-27146.368750328278,2.2947412408204774e-5
0.63,-27215.829204206482,-27215.36520136596,0.33538168435730414
0.64,-27380.17519405545,-27379.21061502378,0.16485058643029984
0.65,-27316.525167329226,-27302.430213117157,1.099764779748073e-7
0.66,-27593.14973052491,-27589.17083775691,0.0047880960613498995
0.67,-28437.823129259978,-28432.257331395405,8.486954747416368e-4
0.68,-28389.361753028636,-28382.778567135287,2.850180585486865e-4
0.6900000000000001,-27481.939798489788,-27471.28789684196,3.919530821088772e-6
0.7000000000000001,-28352.753025426526,-28341.705517855964,2.594826877443441e-6
0.71,-28353.056630627598,-28346.05042964649,1.816088302156355e-4
0.72,-28149.084849067967,-28143.727876739158,0.001063310899933725
0.73,-29400.56369333744,-29392.43527268574,5.530952017480708e-5
0.74,-28504.0084878432,-28499.561312729307,0.002860543828987289
0.75,-27787.40236246899,-27784.738060929056,0.02097819267861694
0.76,-28421.156706630612,-28415.106783575928,5.042598459950784e-4
0.77,-28791.53119486311,-28785.585565592177,5.639800106784333e-4
0.78,-27555.16217217809,-27544.940269169183,6.1407972619892445e-6
0.79,-27571.72567352082,-27562.805292724854,2.4018250977193614e-5
0.8,-27660.60950618225,-27657.6580691313,0.015116198675682166
0.81,-28599.829617734384,-28594.016964405448,6.506051310431148e-4
0.8200000000000001,-28161.291863549948,-28153.281864515677,6.26769386985468e-5
0.8300000000000001,-27505.169394199802,-27502.094314938582,0.013140032274466305
0.84,-28132.408561906228,-28114.547507831765,2.2756680551499153e-9
0.85,-27508.39653751913,-27495.993922810765,6.342516539106821e-7
0.86,-28768.85225544756,-28764.33071394088,0.002636905789907997
0.87,-26731.253549323246,-26718.399513640597,3.9716250760119003e-7
0.88,-28202.125837236188,-28189.953199745403,8.052401522210396e-7
0.89,-27685.439671625503,-27676.55238535531,2.4868466776720337e-5
0.9,-28282.518431988952,-28270.839868440842,1.3454406896431995e-6
0.91,-27937.51691924868,-27931.78479487839,7.094790632306292e-4
0.92,-27918.212280518477,-27897.627836690568,1.396274602718851e-10
0.93,-27632.439731893133,-27620.90827008625,1.5678507912428585e-6
0.9400000000000001,-28436.783646356704,-28427.762392731624,2.1602716727359527e-5
0.9500000000000001,-27671.97977588555,-27663.517109697677,3.8879253380405495e-5
0.96,-26907.556297582272,-26901.4203584481,4.5983522056400236e-4
0.97,-28026.48159140551,-28016.554444664693,8.357481116467297e-6
0.98,-27977.779846607737,-27968.10892995479,1.092856359244603e-5
0.99,-27725.6752296788,-27714.744389419026,2.9302742155761432e-6
1,-28551.488692640458,-28542.870769887657,3.3014800623295064e-5
