c,null_like,alt_like,p
0,-27763.477947672127,-27763.349370517957,0.6120819581817677
0.01,-28067.990480474902,-28068.45203086061,1
0.02,-28049.481178081416,-28048.314847850565,0.12668519499517958
0.03,-28119.156663480317,-28119.557513877662,1
0.04,-28027.2495260383,-28027.609004563816,1
0.05,-27730.310261337054,-27730.852535464393,1
0.06,-28110.553617844686,-28109.41094186192,0.13060051192083166
0.07,-27979.047763515595,-27979.702999098958,1
0.08,-28725.560413148694,-28726.164801199484,1
0.09,-27558.793220914406,-27559.358464595283,1
0.1,-28057.42241605406,-28058.067726455552,1
0.11,-28247.434856974618,-28248.00897780446,1
0.12,-28119.24721212635,-28119.60769579857,1
0.13,-28430.069684376886,-28430.432266934604,1
0.14,-27179.86222208952,-27180.471525763158,1
0.15,-27828.54271366263,-27828.84969329532,1
0.16,-28274.761046458974,-28274.342539343146,0.3602521006153121
0.17,-27392.322555675455,-27392.06240573828,0.4707137921665214
0.18,-27578.680637172103,-27575.695628764133,0.014551142057650244
0.19,-27998.41820498029,-27998.427899199472,1
0.2,-27133.19405518603,-27133.272852783353,1
0.21,-27640.664680286773,-27641.04985271201,1
0.22,-27830.421969871517,-27830.34557650261,0.6958863507546177
0.23,-28977.17948109899,-28971.70569872463,0.00093726719150198905
0.24,-27782.223086767735,-27782.61650579622,1
0.25,-28121.944143720335,-28119.525172122238,0.02784008119399679
0.26,-28416.956727211193,-28417.48915976138,1
0.27,-27700.276288204474,-27700.48349823032,1
0.28,-27835.17423294029,-27834.35384721681,0.20021965540008982
0.29,-28068.35472083806,-28068.961865295296,1
0.3,-26878.640268493033,-26877.42910471238,0.11961708195631973
0.31,-28082.857629110596,-28082.651384984223,0.5207092607776549
0.32,-28508.501496188284,-28509.099006713037,1
0.33,-27287.45185083968,-27287.754211997482,1
0.34,-27638.475014134096,-27638.598637235118,1
0.35000000000000003,-27808.710190290698,-27809.159627782952,1
0.36,-28321.09037236084,-28318.725744799103,0.02965372498612538
0.37,-28888.44341506428,-28888.720520582323,1
0.38,-28481.372471578445,-28481.64435458489,1
0.39,-26560.095124396434,-26560.082589264828,0.8741921059371546
0.4,-28151.422970233245,-28151.9545081893,1
0.41000000000000003,-27628.81450279673,-27625.27026519753,0.007758122766572963
0.42,-27920.475310183036,-27918.10015220599,0.029292915469157348
0.43,-28469.97411389894,-28469.824794175256,0.5847366248410824
0.44,-25967.882602997866,-25964.628972667055,0.010743488687651674
0.45,-27858.834329733552,-27858.02597222432,0.2035504403909899
0.46,-27482.594115497595,-27479.323821391496,0.010544048015737282
0.47000000000000003,-28062.001603457567,-28061.78775210987,0.5131183589413072
0.48,-27832.40039075221,-27824.851358953878,1.0206793363321304e-4
0.49,-28674.251725336057,-28668.944665670326,0.0011222739149787688
0.5,-28467.436118615187,-28467.41427959533,0.8344537672771954
0.51,-28669.51381694979,-28667.71199295052,0.05765292921653676
0.52,-28391.480604695436,-28390.27278166397,0.12012840026392761
0.53,-28379.26678319976,-28376.911635530145,0.029982500271313016
0.54,-27783.54871945399,-27780.937959388775,0.022309041372564134
0.55,-28447.777795460363,-28445.3089710059,0.02627775697689803
0.56,-28061.84121020139,-28057.071360777794,0.0020107473275301053
0.5700000000000001,-27280.315949158005,-27278.541844908777,0.05960977663382978
0.58,-27518.946515491047,-27517.15689931617,0.05850618161503504
0.59,-28194.387007873112,-28193.294329088687,0.13932870312522272
0.6,-28481.123930985927,-28479.37228596688,0.06124704170897151
0.61,-28904.450406807773,-28902.524346993243,0.049683165674759645
0.62,-27972.00599103173,-27967.641963922713,0.003133507207645016
0.63,-28678.8289060339,-28677.123381352787,0.0647612520401751
0.64,-27434.20341580719,-27433.79682377221,0.3671805508027728
0.65,-27405.328531385123,-27401.386753999388,0.0049886327219124
0.66,-27540.27922513391,-27536.365172073467,0.0051439970159154556
0.67,-28213.351217346815,-28207.280226723713,4.929937524445199e-4
0.68,-26909.87894181138,-26905.53504801463,0.0032034924327543706
0.6900000000000001,-28818.229704963323,-28813.62767961976,0.002414801900492519
0.7000000000000001,-28258.553128009986,-28252.239834651464,3.802989395175494e-4
0.71,-27511.12155482875,-27507.17285771411,0.004950606433148649
0.72,-28423.826047368257,-28421.02474536159,0.01793380270325888
0.73,-28409.43945146717,-28405.71358725292,0.006337556223969931
0.74,-28878.17940650741,-28875.95361377363,0.0348688597021322
0.75,-26344.6697172505,-26345.32363858156,1
0.76,-27706.793849598962,-27696.982078697238,9.430009691780227e-6
0.77,-28294.652441799168,-28285.43704353944,1.761873793576804e-5
0.78,-27882.544377571383,-27869.96124942126,5.259443250337032e-7
0.79,-28480.394832142338,-28473.00479660506,1.2080547921532162e-4
0.8,-28394.951423260827,-28381.11105079496,1.430798242351583e-7
0.81,-28012.088487975798,-28009.99210185676,0.0405966596808989
0.8200000000000001,-27932.019786218592,-27925.911191243118,4.735119642142141e-4
0.8300000000000001,-27922.182762115717,-27911.631473382553,4.353421737907589e-6
0.84,-26816.268168867464,-26796.579664883073,3.4938675273028463e-10
0.85,-26700.130506994767,-26693.911397626434,4.206367655261628e-4
0.86,-27494.03330930658,-27487.964288328494,4.940361863569677e-4
0.87,-27777.835575340647,-27774.618644364666,0.01119648704656519
