c,null_like,alt_like,p
0,-27219.38458135992,-27219.324755990936,0.7294136014554116
0.01,-28398.348571360675,-28397.93422786119,0.36265247189184807
0.02,-28601.853381747846,-28602.404138098314,1
0.03,-28314.5025836172,-28315.116662090266,1
0.04,-28913.866748714856,-28914.199171183627,1
0.05,-27799.676309884253,-27798.365040572517,0.1053557656078158
0.06,-28596.761557182697,-28597.422335520234,1
0.07,-28785.441828128034,-28785.894445828617,1
0.08,-26704.556614214114,-26704.276063864647,0.45381709393405534
0.09,-28438.65083066115,-28439.29785781388,1
0.1,-28125.398971178136,-28125.99440197682,1
0.11,-27790.32884046315,-27790.06926473809,0.4712038738065123
0.12,-28242.12592129298,-28242.288980542926,1
0.13,-27949.89780945618,-27950.103251268658,1
0.14,-27601.250008204024,-27601.823382417748,1
0.15,-28204.416794007528,-28199.942029328275,0.0027754108075908833
0.16,-27515.842010252447,-27515.000109211036,0.19442001025581743
0.17,-27589.832056205898,-27589.914502329942,1
0.18,-28384.22654416976,-28384.536642396113,1
0.19,-28853.373075732907,-28854.060866813667,1
0.2,-27249.760056634404,-27247.653326512587,0.04010444894659496
0.21,-28160.54848724281,-28156.525156769487,0.004558760187686574
0.22,-27533.38478547571,-27532.349752499926,0.15021502529015934
0.23,-27225.954536557158,-27225.11833734711,0.19593759361373309
0.24,-26933.257864789426,-26933.82033037227,1
0.25,-28182.562474125603,-28182.982545665614,1
0.26,-27722.730057954836,-27722.183482787485,0.2957742492052815
0.27,-28336.71826210699,-28334.26516810153,0.02676063763636957
0.28,-28161.04018211351,-28159.56853868245,0.0862350915773157
0.29,-27825.5257056903,-27825.620863481276,1
0.3,-28094.02954572941,-28093.221628565476,0.20367361076708126
0.31,-28545.774306254447,-28546.36063080127,1
0.32,-27663.349301804614,-27663.949086779645,1
0.33,-27222.147373001313,-27222.23134500622,1
0.34,-27550.532322707906,-27551.023514960514,1
0.35000000000000003,-27515.303443096338,-27515.355060004946,1
0.36,-27926.716756788162,-27926.823954351497,1
0.37,-27687.164334379362,-27687.130343451292,0.7942981807704211
0.38,-28141.32878885531,-28133.27481618727,5.983248694933205e-5
0.39,-27526.663022053115,-27524.936097484213,0.06310465135524791
0.4,-28343.662068800888,-28343.711688514093,1
0.41000000000000003,-28717.978425391666,-28717.779915180075,0.5286320600724257
0.42,-27080.867420209637,-27079.374032929234,0.08394722390644503
0.43,-28562.232133140173,-28558.1784638948,0.004408640943769316
0.44,-28532.866564262345,-28531.78024303109,0.14048465424302037
0.45,-27200.049735537945,-27199.57449405746,0.3295963942227335
0.46,-27975.78162801045,-27974.994711951214,0.20965136883432875
0.47000000000000003,-27515.1452988588,-27513.808745357594,0.1020566124601699
0.48,-26931.879339673214,-26930.59550389821,0.10906816471319387
0.49,-28406.589368442903,-28402.40837538003,0.00383151560231245
0.5,-28538.230567417002,-28535.47525433357,0.01890127886928186
0.51,-28386.71874817729,-28378.916995177595,7.810962562529419e-5
0.52,-28006.0591937055,-28002.955799289088,0.012726127687364778
0.53,-27951.44291423633,-27951.147209161634,0.4418743401937521
0.54,-27958.648693513045,-27954.9821048484,0.006769328638106647
0.55,-27553.373402731257,-27551.53061894672,0.054885288671426696
0.56,-27695.9689140542,-27694.955869212718,0.15461798101378665
0.5700000000000001,-28336.201694466654,-28334.091099109573,0.03992213609379151
0.58,-27921.528422118197,-27913.19266353431,4.444330337953027e-5
0.59,-29081.336057069457,-29078.166572465965,0.011811350179394801
0.6,-28412.926939780133,-28411.62152651582,0.106136431293507
0.61,-27182.94152181484,-27174.761417133777,5.23732730182415e-5
0.62,-28645.333897716726,-28636.669385144618,3.1434863923258626e-5
0.63,-27904.60685195875,-27901.790031102173,0.01761899132361385
0.64,-27738.175028423273,-27738.512515500373,1
0.65,-27974.473597717253,-27971.81297175666,0.021066870713571453
0.66,-28510.56867767866,-28503.845109706002,2.453804940633454e-4
0.67,-28069.87059935545,-28061.525270981034,4.399715411149749e-5
0.68,-27597.34208773038,-27591.37475541294,5.509904552988614e-4
0.6900000000000001,-28145.27661704171,-28143.711229542365,0.07682720978706942
0.7000000000000001,-27933.698954580304,-27929.392494771353,0.0033378682267034884
0.71,-28236.947155820304,-28230.013922949907,1.9626946068928297e-4
0.72,-27540.032102241887,-27535.87795292484,0.003946434176373299
0.73,-27477.238338234252,-27468.07427891441,1.8594233762844194e-5
0.74,-27609.897461571996,-27608.789732382742,0.13663447427612477
0.75,-27828.342589363074,-27824.249714346628,0.004222071876320061
0.76,-27771.527573841897,-27769.75655705253,0.05983206304096818
0.77,-26881.233846772415,-26879.764357604014,0.08646540685808334
0.78,-27074.03658297807,-27071.37603662433,0.021068795617091903
0.79,-26865.181325327103,-26850.91109287462,9.176059314827418e-8
0.8,-27360.341153724083,-27353.96025183142,3.5376957784494456e-4
0.81,-28344.3285434158,-28326.488265375203,2.3247275413096977e-9
0.8200000000000001,-27467.860349448772,-27455.983390377576,1.0947229157944655e-6
0.8300000000000001,-28808.868565562778,-28798.92241665378,8.19297418768255e-6
0.84,-28497.276424071293,-28487.066035267308,6.215133800166401e-6
0.85,-28344.357048808914,-28330.264023717176,1.1019592290218784e-7
0.86,-28567.13182429068,-28560.280503972375,2.141531624740812e-4
0.87,-28119.094433695267,-28108.530157551897,4.2948108939261665e-6
0.88,-28070.09641763712,-28060.72465275466,1.4952983395816237e-5
0.89,-29837.953097492824,-29828.70109763503,1.6954811769640535e-5
0.9,-28216.440523073416,-28215.335600115617,0.13713236728466108
0.91,-27313.57551265198,-27298.143670458925,2.76803361218237e-8
0.92,-27744.32415051953,-27735.599829173905,2.9517496986474447e-5
0.93,-28478.842258700137,-28471.264320987724,9.898979321933657e-5
0.9400000000000001,-26956.868836229038,-26950.30004160711,2.8943002039375306e-4
0.9500000000000001,-26707.196589786672,-26700.085032644085,1.623638609403975e-4
0.96,-27562.618835134286,-27552.18039864484,4.897723726612912e-6
0.97,-28162.141717400005,-28150.498334071977,1.395569134851773e-6
0.98,-28216.732919780006,-28207.064788886262,1.0960497012483082e-5
0.99,-27255.39710515729,-27244.33911240094,2.5666352730097177e-6
1,-29070.0889806106,-29060.28484714489,9.505700847713634e-6
