year,seine_date
2018,08-Jun-18
2018,12-Jun-18
2018,NA
2019,24-Apr-19
2019,2-May-19
2019,21-May-19
2019,30-May-19
2019,no date
2019,17-May-19
2019,5-May-19
2019,10-May-19
2019,13-May-19
2019,27-May-19
2019,23-May-19
2019,28-May-19
2019,7-May-19
2019,6-May-19
2019,7-Jun-19
2019,20-May-19
2019,6-Jun-19
2019,22-May-19
2019,14-May-19
2019,29-May-19
2019,8-May-19
2019,06-May-19
2020,25-Apr-20
2020,24-Apr-20
2020,23-Apr-20
2020,21-Apr-20
2020,29-Apr-20
2020,27-Apr-20
2020,22-Apr-20
2020,22-May-20
2020,14-May-20
2020,20-May-20
2020,8-May-20
2020,19-May-20
2020,4-May-20
2020,27-May-20
2020,28-May-20
2020,25-May-20
2020,21-May-20
2020,1-May-20
2020,12-May-20
2020,29-May-20
2020,2-Jun-20
2020,3-Jun-20
2020,8-Jun-20
2020,12-Jun-20
2021,14-Apr-21
2021,18-Apr-21
2021,16-Apr-21
2021,15-Apr-21
2021,17-Apr-21
2021,25-May-21
2021,31-May-21
2021,10-May-21
2021,19-May-21
2021,21-May-21
2021,11-May-21
2021,12-May-21
2021,27-May-21
2021,13-May-21
2021,14-May-21
2021,17-May-21
2021,7-Jun-21
2021,18-Jun-21
2021,8-Jun-21
2021,10-Jun-21
2021,9-Jun-21
2021,14-Jun-21
2021,1-Jun-21
2021,15-Jun-21
2021,16-Jun-21
2021,?
NA,NA
2022,31-05-2022
2022,19-05-2022
2022,16-05-2022
2022,17-05-2022
2022,25-05-2022
2022,27-05-2022
2022,30-05-2022
2022,12-05-2022
2022,24-05-2022
2022,14-05-2022
2022,20-05-2022
2022,13-05-2022
2022,23-05-2022
2022,11-05-2022
2022,07-05-2022
2022,15-05-2022
2022,06-05-2022
2022,02-06-2022
2022,07-06-2022
2022,16-06-2022
2022,15-06-2022
2022,14-06-2022
2022,03-06-2022
2022,08-06-2022
2022,13-06-2022
2022,01-06-2022
2022,10-06-2022
2022,09-06-2022
