b_i_vals,popn
-1.6173281088817048e-4,MACNAIR CREEK
-1.0868167159533851e-5,KOEYE RIVER
-0.0010207978385445098,NAMU RIVER
-7.846963110809777e-5,NOOTUM RIVER
-2.822402645644602e-4,QUATLENA RIVER
-7.826215090877244e-6,KWATNA RIVER
-9.18246639511995e-5,ASSEEK RIVER
-5.624570543701873e-4,TALEOMEY RIVER
-3.849308230108605e-4,NOEICK RIVER
-0.002947891595190477,CAMP CREEK
-5.246047963743955e-7,BELLA COOLA RIVER
-2.620427425488561e-5,NECLEETSCONNAY RIVER
-7.937611915634322e-5,NOOSESECK RIVER
-2.2957348760376343e-5,DEAN RIVER
-1.138149532481024e-6,KIMSQUIT RIVER
-2.3648928015208964e-4,SKOWQUILTZ RIVER
-0.003270714186973618,DEEP BAY CREEK
-1.21199552900482e-4,CASCADE RIVER
-5.036009847585852e-5,ELCHO CREEK
-7.137689776627907e-5,FRENCHMAN CREEK
-1.669530230392761e-4,MARTIN RIVER
-0.0015460118868720672,GOAT BUSHU CREEK
-0.0011297827675303606,WALKER LAKE CREEK
-2.764716505601958e-5,CLATSE CREEK
-6.937398844634419e-5,ROSCOE CREEK
-2.1702244196810107e-4,LEE CREEK
-1.333575671239363e-4,QUARTCHA CREEK
-6.249191000474127e-4,BULLOCK CHANNEL CREEKS
-3.803528670454219e-4,PINE RIVER
-1.4618347173845023e-4,CHAMISS CREEK
-2.209655202500186e-5,NEEKAS CREEK
-1.2559214946765e-4,HARTLEY BAY CREEK
-0.04552995272633835,SHIP POINT CREEK
-1.3708804824072906e-4,BUSEY CREEK
-0.002790916823139173,STEEP CREEK
-0.0014264291371525262,MCMICKING CREEK
-4.4043176052522876e-4,WANNOCK RIVER
-3.1866545917898748e-06,CHUCKWALLA RIVER
-8.305842224956857e-5,MILTON RIVER
-9.731906622664378e-4,GENESEE CREEK
-1.3238990659447916e-4,MARMOT COVE CREEK
-3.898604539234037e-4,EVINRUDE CREEK
-0.0015020353712912884,MCDONALD CREEK
-5.064821355822964e-5,HIRSCH CREEK
-8.827953730734911e-5,LITTLE WEDEENE RIVER
-4.415065130983443e-5,WEDEENE RIVER
-3.34433621195249e-5,NALBEELAH CREEK
-9.458410500150712e-5,HUMPHRYS CREEK
-4.70744909630572e-4,EMSLEY CREEK
-8.213803750430007e-4,ASHLULM CREEK
-0.0010143923828484585,KILDIDT LAGOON #2 CREEK
-3.3439373774643604e-4,FIFER COVE CREEK
-0.0010462275080196746,FLUX CREEK
-1.4835262097267953e-4,BIG CREEK
-1.5425323796317608e-4,WAHOO CREEK
-3.340631217572556e-4,BIG BAY CREEK
-2.1633041455137775e-4,LOCKHART GORDON CREEK
-2.4799013719795484e-4,AMBACK CREEK
-2.1970170031969548e-4,DALLERY CREEK
-0.0014104897310313856,CHIST CREEK
-0.00431142753307745,BEAVER CREEK
-4.7842510921378514e-4,WINDFALL CREEK
-0.0017876104145397365,ROBINSON CREEKS
-0.0019478117620657673,NEECHANZ RIVER
-0.0014661047891092655,WASHWASH RIVER
-0.0010120771034231584,OATSOALIS CREEK
-8.594338743806254e-4,ALLARD CREEK
-0.0013472275077230924,KEESIL CREEK
-4.181291138462689e-4,NIEUMIAMUS CREEK
-2.7410616785993356e-4,DRANEY CREEK
-0.0022507545670771506,FOUR LAKES CREEK
-0.01317511966873624,HAUSER CREEK
-4.6136727974573386e-4,CRANE BAY CREEK
-1.282773697317496e-4,CECIL CREEK
-4.5248985365267566e-4,MISSED CREEK
-0.010215597117312666,DE COSMOS LAGOON CREEK
-5.777637318951215e-4,FISHTRAP BAY CREEK
-3.23551154403281e-4,ANDERSON CREEK
-2.720750100240519e-4,VERNEY PASSAGE CREEK
-0.03564259774987562,RAINBOW CREEK
-3.595095122983647e-5,YOUNG RIVER
-3.603827150540924e-4,GRIBBLE ISLAND CREEK
-9.371763457878694e-4,LADEKIN CREEK
-1.0340441525100454e-4,ATNARKO SPAWNING CHANNEL
-9.770443682648364e-4,NEKITE SPAWNING CHANNEL
-4.128297650057793e-4,WHALEN CREEK
-8.923219480528066e-5,HAWKSBURY ISLAND CREEK
-3.59987747215708e-4,FANNIE COVE LEFT HAND CREEK
-0.0015004375109072565,BULLOCK CHANNEL #2 CREEK
