river,n
AALTANHASH RIVER,58
AIN RIVER,27
ALDER ISLAND CREEK,7
ALLARD CREEK,18
ALPHA CREEK,60
AMBACK CREEK,24
AMERICAN BAY CREEK,4
ANDERSON CREEK,19
ANDESITE CREEK,37
ANGLER COVE CREEK,39
ANSEDAGAN CREEK,26
ARGYH CREEK,16
ARNOUP CREEK,59
ASHLULM CREEK,31
ASSEEK RIVER,40
ATNARKO SPAWNING CHANNEL,19
AWUN RIVER,24
BABINE RIVER-SECTION 4,60
BABINE RIVER-SECTION 5,32
BAG HARBOUR CREEK,17
BARNARD CREEK,62
BEAR RIVER,36
BEAVER CREEK,22
BELLA COOLA RIVER,60
BELLE BAY CREEK,21
BELOWE CREEK,60
BIG BAY CREEK,48
BIG CREEK,44
BIG FALLS CREEK,17
BIG GOOSE CREEK,47
BIG TILLHORN CREEK,47
BILLY CREEK,46
BISH CREEK,62
BLACK ROCK CREEK,53
BLEE CREEK,52
BLOOMFIELD CREEK,57
BOAT HARBOUR CREEK,7
BOLIN BAY CREEK,56
BOLTON CREEK,40
BONANZA CREEK,18
BONILLA LAKE CREEK,35
BOOMCHAIN BAY CREEK,31
BOTANY INLET CREEK-HEAD,6
BOTTLE INLET CREEK,9
BOTTLENECK CREEK,42
BOUCHER CREEK,31
BRAVERMAN CREEK,15
BREAKER BAY CREEK,20
BRIM RIVER,54
BROWNS CABIN CREEK,29
BRUNDIGE CREEK,32
BUCK CHANNEL CREEK #3,16
BUCK CHANNEL CREEK #8,6
BULKLEY RIVER-LOWER,32
BULLEY BAY CREEK,38
BULLOCK CHANNEL #2 CREEK,8
BULLOCK CHANNEL CREEKS,45
BURDICK CREEK,16
BUSEY CREEK,8
CAMERON CREEK,8
CAMP CREEK,27
CANOE PASS CREEK,21
CANOONA RIVER,60
CANYON CREEK,49
CAPTAIN COVE CREEK,61
CARPENTER BAY CREEK,4
CARTER RIVER,62
CARTWRIGHT CREEK,20
CASCADE RIVER,56
CECIL CREEK,11
CEDAR CREEK,12
CELESTIAL RIVER,14
CHADSEY CREEK,19
CHAMBERS CREEK,53
CHAPPLE CREEK,36
CHEENIS LAKE CREEK,57
CHERRY CREEK,27
CHICAGO CREEK,20
CHISMORE CREEK,20
CHIST CREEK,24
CHUCKWALLA RIVER,59
CLATSE CREEK,62
CLAY CREEK,28
CLIFFORD CREEK,37
CLYAK RIVER,48
COLDWATER CREEK,14
COMEAU CREEK,12
CONE HEAD CREEK,5
COOPER INLET-FANNIE COVE CREEKS,48
COOPER INLET-FANNIE COVE LH CREEK,8
COPPER CREEK,57
CRAB HARBOUR CREEK,20
CRAB RIVER,53
CRAG CREEK,17
CRANBERRY RIVER,9
CRANE BAY CREEK,36
CRESCENT INLET CREEK,37
CROW LAGOON CREEK,15
CULLON CREEK,19
CURTIS INLET CREEK,40
DALA RIVER,61
DALLAIN CREEK,23
DALLERY CREEK,32
DALLY CREEK,40
DANA CREEK #1,18
DANA CREEK #3,4
DATE CREEK,17
DATLAMEN CREEK,29
DAVIDSON CREEK,24
DAWSON HARBOUR CREEK,19
DAWSON INLET CREEK,24
DE COSMOS LAGOON CREEK,11
DEADMAN CREEK,29
DEAN RIVER,53
DEENA CREEK,51
DEEP BAY CREEK,31
DEEP CREEK,39
DEER LAKE CREEK,40
DEER PASS LAGOON CREEKS,11
DENISE CREEK,18
DEVIL CREEK,29
DEVON LAKE CREEK,28
DINAN CREEK,14
DISKANGIEQ CREEK,11
DOG TAG CREEK,32
DOGFISH CREEK,57
DON CREEK,24
DONAHUE CREEK,31
DOUGLAS CREEK,35
DRANEY CREEK,26
DUFFEY CREEK,35
DUTHIE CREEK,57
EAGLE BAY CREEK,45
EAGLE CREEK,45
EAST ARM CREEK,53
EAST NARROWS DOLPHIN CREEK,5
ECSTALL RIVER,35
ELCHO CREEK,59
EMSLEY CREEK,23
END HILL CREEK,43
ENSHESHESE RIVER,59
ERLANDSEN CREEK,23
EVANS INLET CREEK #3,45
EVELYN CREEK,61
EVINRUDE CREEK,15
EXCHAMSIKS RIVER,36
EXSTEW RIVER,26
EXSTEW SLOUGH,26
FAIRFAX CREEK,8
FALSE STEWART CREEK,54
FIDDLER CREEK,23
FIFER COVE CREEK,43
FISHTRAP BAY CREEK,27
FLAMINGO INLET CREEK,7
FLAT CREEK,15
FLEWIN CREEK,34
FLUX CREEK,33
FOCH RIVER,58
FOOTE CREEK,30
FOUR LAKES CREEK,15
FRENCHMAN CREEK,55
FULTON RIVER,17
FULTON RIVER-ABOVE WEIR,14
FURY CREEK,45
GABION RIVER,56
GENESEE CREEK,33
GEORGE BAY CREEK,20
GEORGIE RIVER,21
GIL CREEK,57
GILTTOYEES CREEK,47
GINGIT CREEK,15
GITNADOIX RIVER,43
GITZYON CREEK,21
GOAT BUSHU CREEK,45
GOAT RIVER,37
GOLD HARBOUR CREEK,13
GORILLA CREEK,24
GRAY BAY CREEK,7
GREEN BAY RIVER,18
GREEN RIVER,62
GREGORY CREEK,20
GRIBBELL ISLAND CREEK,22
GULL CREEK,20
HAANS CREEK,45
HANKIN CREEK,52
HARRIET CREEK,9
HAUSER CREEK,4
HAWKSBURY ISLAND CREEK,15
HAYWARD CREEK,20
HAZELTON CREEK,19
HEAD CREEK,118
HERMAN CREEK,28
HEVENOR CREEK,9
HEVENOR INLET CREEK,42
HIELLEN RIVER,20
HIRD POINT CREEK,53
HIRSCH CREEK,36
HONNA RIVER,47
HOOK NOSE CREEK,56
HOTSPRING CREEK,47
HUGH CREEK,60
HUMPBACK CREEK,50
HUMPHRYS CREEK,36
ILLIANCE RIVER,39
INDIAN BAY CREEK,5
INDIAN CABIN CREEK-R/H,4
INSKIP CREEK,21
IRONSIDE CREEK,9
JALUN RIVER,23
JAMES BAY CREEK,60
JENNY BAY CREEK,52
JOHNSTON CREEK,71
KADEEN CREEK,4
KADJUSDIS RIVER,48
KAINET CREEK,62
KANO INLET CREEK-HEAD,29
KANO INLET CREEK-OUTER,21
KASIKS RIVER,47
KDELMASHAN CREEK,30
KEECHA CREEK,41
KEESIL CREEK,9
KEMANO RIVER,61
KENDRICK POINT CREEK,6
KESWAR CREEK,38
KHUTZE RIVER,60
KHUTZEYMATEEN RIVER,62
KHYEX RIVER,47
KIHESS CREEK,27
KILBELLA RIVER,56
KILDALA RIVER,43
KILDIDT LAGOON CREEK #2,13
KILTUISH RIVER,61
KIMSQUIT RIVER,38
KINSKUCH RIVER,10
KISAMEET RIVER,30
KISKOSH CREEK,61
KISPIOX RIVER,46
KITASOO CREEK,42
KITIMAT RIVER,53
KITKATLA CREEK,51
KITKIATA CREEK,61
KITLOPE RIVER,35
KITSAULT RIVER,29
KITSEGUECLA RIVER,13
KITSUMKALUM RIVER-LOWER,23
KITWANGA RIVER,60
KLEANZA CREEK,49
KLEKANE RIVER,58
KLEWNUGGIT INLET CREEK,22
KLOIYA RIVER,35
KOEYE RIVER,57
KOORYET CREEK,52
KOOTENAY INLET NORTH ARM CREEK,7
KOOTENAY INLET SOUTH ARM CREEK,12
KORICH CREEK,54
KOWESAS RIVER,22
KSEMAMAITH CREEK,35
KSGYUKWSA'A,35
KSHWAN RIVER,18
KSI GINGOLX,49
KSI HLGINX,40
KSI MAT'IN,17
KSI SGASGINIST,25
KSI SII AKS,52
KSI TS'OOHL TS'AP,31
KSI X'ANMAS,62
KUMDIS CREEK,6
KUMEALON CREEK,62
KUNSOOT RIVER,52
KWAKUSDIS RIVER,58
KWAKWA CREEK,23
KWATNA RIVER,59
KWINITSA CREEK,13
KXNGEAL CREEK,21
LA HOU CREEK,60
LACHMACH RIVER,53
LADEKIN CREEK,10
LAGINS CREEK,33
LAGOON CREEK,89
LAKELSE RIVER,61
LARCH CREEK,19
LARD CREEK,52
LEE CREEK,53
LEVERSON CREEK,16
LIGNITE CREEK,30
LIMESTONE CREEK,49
LINNEA CREEK,17
LITTLE CREEK,51
LITTLE GOOSE CREEK,31
LITTLE TILLHORN CREEK,41
LITTLE USELESS CREEK,33
LITTLE WEDEENE RIVER,39
LIZARD CREEK,35
LOCKERBY CREEK,26
LOCKHART GORDON CREEK,38
LOMGON BAY CREEK,9
LOUSCOONE INLET CREEK,14
MACE CREEK,8
MACMILLAN CREEK,13
MACNAIR CREEK,43
MAMIN RIVER,30
MANZANITA COVE CREEK,37
MARKLE INLET CREEK,26
MARMOT COVE CREEK,52
MARSHALL CREEK,48
MARSHALL INLET CREEK,19
MARTIN RIVER,47
MARY COVE CREEK,25
MATHERS CREEK,45
MCCLINTON CREEK,23
MCCULLY CREEK,28
MCDONALD CREEK,13
MCKENZIE COVE CREEK,27
MCLOUGHLIN CREEK,26
MCMICKING CREEK,13
MCNICHOL CREEK,40
MERCER CREEK,21
MEYERS PASS CREEK,23
MIDDLE CREEK,12
MIKADO LAKE CREEK,40
MILTON RIVER,48
MISSED CREEK,26
MONCKTON INLET CREEK,14
MOORE COVE CREEK,49
MORICE RIVER,48
MOUNTAIN CREEK,8
MOUSE CREEK,20
MUD BAY CREEK,5
MUSSEL RIVER,62
NADEN RIVER,30
NALBEELAH CREEK,26
NAMELESS CREEK,44
NAMU RIVER,31
NANGEESE RIVER,23
NASOGA GULF CREEK,9
NECLEETSCONNAY RIVER,51
NEECHANZ RIVER,10
NEEKAS CREEK,62
NEKITE RIVER,53
NEKITE SPAWNING CHANNEL,16
NEWCOMBE HARBOUR CREEK,48
NIAS CREEK,54
NICKNAQUEET RIVER,50
NIEUMIAMUS CREEK,26
NOBLE CREEK,29
NOEICK RIVER,24
NOOSESECK RIVER,49
NOOTUM RIVER,42
NORTH ARM CREEK-RH,14
NORTH ARM HEAD CREEK,19
NORTH KUMEALON CREEK,45
NORTHNESS CREEK,11
OATSOALIS CREEK,7
OONA RIVER,58
OSMENT CREEK,22
OTARD CREEK,16
OUTLOOK CREEK,23
PA-AAT RIVER,61
