"SpeciesId","CU","CU_Name","BroodYear","Escape","TR2","TR3","TR4","TR5","TR6","TR7","Total","Total ER","Age2","Age3","Age4","Age5","Age6","Age7"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1974,300411.317764018,NA,73587.4614340804,456099.26870641,36425.0065792265,623.060136007106,0,566734.796855724,0.455106152991266,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1975,138409.792104925,NA,106931.56184669,291205.690734391,30596.5841120495,562.718412235037,0,429296.555105366,0.397805811344974,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1976,164483.953055123,NA,68272.5920986221,244609.411149528,27633.3859869216,761.734526984221,0,341277.123762056,0.556900730424189,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1977,251422.448474512,NA,57348.1874917343,220919.637616231,37406.4607555941,431.823241755424,0,316106.109105315,0.411926556670274,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1978,290280.367934668,NA,51794.1674405853,299052.087158003,21205.5231499468,607.540048737596,0,372659.317797273,0.532756689736298,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1979,221603.897296052,NA,70112.1640558953,169531.033654944,29834.4399334617,715.884908260343,0,270193.522552561,0.441321009937658,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1980,166415.608311834,NA,39746.2119630714,238516.324481661,35154.9257355868,834.897523975993,0,314252.359704295,0.500534266985138,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1981,163750.828225599,NA,55919.6755019867,281051.821069161,40999.2725276553,554.225392074158,0,378524.994490877,0.455830763444132,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1982,274738.743691253,NA,65892.0376522835,327775.410281805,27216.3196546363,1034.45866003262,0,421918.226248757,0.325537398525609,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1983,174481.107643114,NA,76846.289746924,217585.332401734,50799.1116314416,493.36286138244,0,345724.096641483,0.244413825512843,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1984,219267.49689309,NA,51012.4462480236,406121.831691418,24227.5462891708,805.115849385537,0,482166.940077998,0.325097629296903,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1985,219117.752858311,NA,95214.4516389386,193691.09341386,39536.7852668844,573.371751440936,0,329015.702071124,0.427631183285078,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1986,195528.417921587,NA,45410.489679757,316083.315949942,28156.5390025781,253.322261908333,0,389903.666894186,0.562056263178137,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1987,156363.588710675,NA,74105.1016022667,225102.070224793,12439.884123552,426.532486445404,0,312073.588437057,0.47241697137933,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1988,282125.231075956,NA,52774.730405355,99452.694427809,20945.710283573,369.218261836059,0,173542.353378573,0.489999743348469,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1989,142567.087414655,NA,23316.4854115841,167453.917071601,18131.1834141205,792.651421451862,0,209694.237318757,0.459626019035218,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1990,185875.105106444,NA,39259.2361320765,144952.720281788,38924.6952042377,875.542751760384,0,224012.194369862,0.568277724486076,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1991,173166.830889712,NA,33983.8755225789,311189.861528815,42995.235772276,609.73514682048,0,388778.70797049,0.435232075961246,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1992,74448.3085266884,NA,72957.8409948099,343732.465884966,29942.2345093715,665.388139675201,0,447297.929528822,0.450429915254411,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1993,138607.107556694,NA,80587.3895363622,239378.10590281,32675.183351002,500.343709253158,0,353141.022499428,0.392319930209598,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1994,109343.477020572,NA,56121.7184335514,261227.113766069,24570.3544495816,428.212080121785,0,342347.398729324,0.446202089215025,NA,0.17212,0.73415,0.09183,0.00187,0
"CM","CM_15","Spiller-Fitz Hugh-Burke",1995,247483.962954628,NA,61244.1746528853,196431.729491019,21028.1900094029,635.858657271935,0,279339.95281058,0.416143088625926,NA,0.17212,0.73415,0.09183,0.00187,0
