AREA,PERIMETER,QCST_TAG,FCODE,GEOMETRY,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
,660.026,ISLAND,GE14850000,,1763,24673.1538,660.0252,,
,368.888,ISLAND,GE14850000,,1766,9319.6785,368.8881,,
,499.971,ISLAND,GE14850000,,1655,18071.8795,499.971,,
,1054.267,ISLAND,GE14850000,,1649,43817.5044,1054.266,,
,626.527,ISLAND,GE14850000,,1760,22010.3113,626.5264,,
,2267.71,ISLAND,GE14850000,,1259,184296.7405,2267.7097,,
,396.576,ISLAND,GE14850000,,1246,11417.2379,396.5766,,
,4344.436,ISLAND,GE14850000,,1654,721228.5057,4344.4364,,
,4346.145,ISLAND,GE14850000,,1262,978441.4485,4346.1459,,
,2486.93,ISLAND,GE14850000,,1243,293145.942,2486.9316,,
,1304.852,ISLAND,GE14850000,,1258,80771.7231,1304.8527,,
,585.522,ISLAND,GE14850000,,1255,23043.4749,585.5221,,
,492.971,ISLAND,GE14850000,,1225,17910.3231,492.9705,,
,887.522,ISLAND,GE14850000,,1261,51222.4708,887.5215,,
,3052.074,ISLAND,GE14850000,,1650,348689.0759,3052.0744,,
,502.311,ISLAND,GE14850000,,1236,18196.4272,502.3117,,
,642.862,ISLAND,GE14850000,,1773,27238.5974,642.8629,,
,8157.018,ISLAND,GE14850000,,1791,1721042.4221,8157.0165,,
,799.773,ISLAND,GE14850000,,1803,48510.9048,799.7738,,
,542.884,ISLAND,GE14850000,,1802,18855.7953,542.8836,,
,1115.558,ISLAND,GE14850000,,1801,75768.1164,1115.559,,
,2155.724,ISLAND,GE14850000,,1799,170413.6555,2155.7227,,
,833.093,ISLAND,GE14850000,,1798,48191.3685,833.0935,,
,1532.03,ISLAND,GE14850000,,1795,111384.4554,1532.0293,,
,1132.024,ISLAND,GE14850000,,1794,70980.9956,1132.0231,,
,140656.931,ISLAND,GE14850000,,1048,134309490.2277,140656.9224,,
,1834.485,ISLAND,GE14850000,,1784,169566.518,1834.4865,,
,343.071,ISLAND,GE14850000,,1792,7396.1914,343.0711,,
,891.842,ISLAND,GE14850000,,1790,45577.908,891.8417,,
,536.874,ISLAND,GE14850000,,1788,21203.8225,536.8737,,
,506.729,ISLAND,GE14850000,,1785,14987.1092,506.7293,,
,1363.125,ISLAND,GE14850000,,1777,119100.1677,1363.1257,,
,2504.631,ISLAND,GE14850000,,1257,288602.977,2504.6317,,
,1964.253,ISLAND,GE14850000,,1251,170619.9501,1964.2527,,
,1409.671,ISLAND,GE14850000,,1252,55721.2324,1409.6688,,
,328.504,ISLAND,GE14850000,,1253,7958.9701,328.5051,,
,1665.68,ISLAND,GE14850000,,1241,129664.4789,1665.6808,,
,857.739,ISLAND,GE14850000,,1245,39155.9007,857.7376,,
,416.949,ISLAND,GE14850000,,1239,11097.8564,416.9492,,
,453.296,ISLAND,GE14850000,,1235,13478.3971,453.2955,,
,390.691,ISLAND,GE14850000,,1232,10296.6206,390.6913,,
,358.542,ISLAND,GE14850000,,1228,9458.9477,358.5418,,
,501.488,ISLAND,GE14850000,,1226,17768.2558,501.4883,,
,338.015,ISLAND,GE14850000,,1224,7725.3651,338.0151,,
,356.229,ISLAND,GE14850000,,1219,9098.6494,356.2289,,
,684.465,ISLAND,GE14850000,,1215,28760.4095,684.4656,,
,529.667,ISLAND,GE14850000,,1216,20057.84,529.6658,,
,397.891,ISLAND,GE14850000,,1214,11448.6102,397.8913,,
,9427.539,ISLAND,GE14850000,,1247,1956903.5554,9427.5405,,
,3281.433,ISLAND,GE14850000,,1656,379548.6922,3281.4314,,
,464.12,ISLAND,GE14850000,,1234,15369.8611,464.1213,,
,757.675,ISLAND,GE14850000,,1233,40173.3478,757.6753,,
,1502.396,ISLAND,GE14850000,,1220,113855.5506,1502.3955,,
,19752.168,ISLAND,GE14850000,,1634,6378566.3226,19752.1691,,
,908.685,ISLAND,GE14850000,,1776,42775.6918,908.6853,,
,1818.628,ISLAND,GE14850000,,1779,227677.4125,1818.6275,,
,635.556,ISLAND,GE14850000,,1248,21950.5619,635.556,,
,394.961,ISLAND,GE14850000,,1775,11195.983,394.9603,,
,3222.472,ISLAND,GE14850000,,1774,355560.8205,3222.471,,
,438.903,ISLAND,GE14850000,,1771,13606.3609,438.9027,,
,1822.109,ISLAND,GE14850000,,1772,155768.2571,1822.1093,,
,298.337,ISLAND,GE14850000,,1816,5292.7165,298.3377,,
,865.486,ISLAND,GE14850000,,1783,45477.6621,865.485,,
,714.341,ISLAND,GE14850000,,1265,32546.9554,714.3412,,
,532.086,ISLAND,GE14850000,,1264,16883.4704,532.0862,,
,730.613,ISLAND,GE14850000,,1778,33867.9172,730.6124,,
,3307.324,ISLAND,GE14850000,,1759,376514.957,3307.3236,,
,1081.011,ISLAND,GE14850000,,1230,73959.0845,1081.011,,
,939.985,ISLAND,GE14850000,,1804,42474.2408,939.985,,
,346.863,ISLAND,GE14850000,,1787,8448.4216,346.8628,,
,1687.821,ISLAND,GE14850000,,1811,134785.2851,1687.8219,,
,1615.163,ISLAND,GE14850000,,1222,145736.7283,1615.1637,,
,954.302,ISLAND,GE14850000,,1256,55200.596,954.3024,,
,369.779,ISLAND,GE14850000,,1786,10052.7987,369.7774,,
,1369.436,ISLAND,GE14850000,,1789,115282.8608,1369.4353,,
,251.281,ISLAND,GE14850000,,1808,3779.5381,251.2802,,
,989.46,ISLAND,GE14850000,,1814,52516.7319,989.4604,,
,1213.446,ISLAND,GE14850000,,1260,88280.6005,1213.4463,,
,376.727,ISLAND,GE14850000,,1797,10509.5138,376.7277,,
,33325.012,ISLAND,GE14850000,,1800,18004330.9183,33325.0155,,
,650.475,ISLAND,GE14850000,,1354,17913.0452,650.4759,,
,923.723,ISLAND,GE14850000,,1879,52856.5838,923.7214,,
,1649.403,ISLAND,GE14850000,,1878,143416.4532,1649.4034,,
,3905.273,ISLAND,GE14850000,,1864,642110.0294,3905.2723,,
,453.144,ISLAND,GE14850000,,1875,14023.0634,453.1434,,
,4857.769,ISLAND,GE14850000,,1863,836337.9079,4857.7693,,
,620.059,ISLAND,GE14850000,,1873,19449.0197,620.0589,,
,590.016,ISLAND,GE14850000,,1872,17348.1014,590.0175,,
,1418.457,ISLAND,GE14850000,,1868,74207.6776,1418.4594,,
,387.728,ISLAND,GE14850000,,1866,8413.5542,387.7272,,
,434.091,ISLAND,GE14850000,,1865,10576.9362,434.0899,,
,549.913,ISLAND,GE14850000,,1859,13341.7014,549.9119,,
,373.963,ISLAND,GE14850000,,1862,7682.8414,373.9634,,
,758.191,ISLAND,GE14850000,,1855,36853.6257,758.1906,,
,1267.849,ISLAND,GE14850000,,1852,68421.22,1267.8499,,
,567.18,ISLAND,GE14850000,,1850,14720.7865,567.1808,,
,390.892,ISLAND,GE14850000,,1847,9638.1037,390.8918,,
,3354.601,ISLAND,GE14850000,,1837,515306.4443,3354.6,,
,345.865,ISLAND,GE14850000,,1846,7974.0877,345.8657,,
,1141.585,ISLAND,GE14850000,,1841,59922.8788,1141.5857,,
,470.087,ISLAND,GE14850000,,1844,14470.3357,470.0874,,
,515.41,ISLAND,GE14850000,,1843,17291.6021,515.4102,,
,1055.251,ISLAND,GE14850000,,1836,64200.4202,1055.25,,
,903.503,ISLAND,GE14850000,,1835,34470.9805,903.5028,,
,213.603,ISLAND,GE14850000,,1834,2775.45,213.6039,,
,321.883,ISLAND,GE14850000,,1830,6548.9286,321.8841,,
,854.711,ISLAND,GE14850000,,1828,37992.4504,854.7123,,
,331.211,ISLAND,GE14850000,,1827,6881.3964,331.21,,
,2170.333,ISLAND,GE14850000,,1817,291358.4714,2170.332,,
,274.047,ISLAND,GE14850000,,1819,4975.3884,274.0474,,
,12702.183,ISLAND,GE14850000,,1362,3983554.1712,12702.1829,,
,11294.177,ISLAND,GE14850000,,1857,2460722.2672,11294.1802,,
,1808.886,ISLAND,GE14850000,,1806,130919.5046,1808.8857,,
,427.946,ISLAND,GE14850000,,1833,9198.7778,427.9453,,
,1185.97,ISLAND,GE14850000,,1391,68516.2651,1185.9713,,
,480.562,ISLAND,GE14850000,,1853,12012.6563,480.5625,,
,502.234,ISLAND,GE14850000,,1401,17303.1007,502.2344,,
,334.323,ISLAND,GE14850000,,1829,7260.8411,334.322,,
,14662.456,ISLAND,GE14850000,,1825,4035305.7837,14662.4578,,
,503.15,ISLAND,GE14850000,,1400,16607.7445,503.1499,,
,740.635,ISLAND,GE14850000,,1378,30568.119,740.636,,
,573.475,ISLAND,GE14850000,,1356,23308.747,573.4765,,
,567.255,ISLAND,GE14850000,,1860,19161.9272,567.2543,,
,4368.54,ISLAND,GE14850000,,1373,973506.9249,4368.5389,,
,1087.048,ISLAND,GE14850000,,1813,44646.7683,1087.0453,,
,828.168,ISLAND,GE14850000,,1389,45867.8437,828.1683,,
,8103.685,ISLAND,GE14850000,,1867,1040951.51,8103.6866,,
,2914.512,ISLAND,GE14850000,,1818,477081.8888,2914.5102,,
,825.325,ISLAND,GE14850000,,1823,44992.5485,825.3261,,
,476.77,ISLAND,GE14850000,,1392,12776.9434,476.7706,,
,1890.199,ISLAND,GE14850000,,1831,133074.8751,1890.1984,,
,445.44,ISLAND,GE14850000,,1858,12985.6796,445.4396,,
,1085.488,ISLAND,GE14850000,,1848,26916.3769,1085.4884,,
,3536.829,ISLAND,GE14850000,,1379,505888.782,3536.8297,,
,277.615,ISLAND,GE14850000,,1822,5233.1123,277.6147,,
,968.589,ISLAND,GE14850000,,1826,44522.4214,968.5901,,
,382.346,ISLAND,GE14850000,,1374,8834.7189,382.346,,
,394.146,ISLAND,GE14850000,,1358,7652.9457,394.145,,
,771.086,ISLAND,GE14850000,,1861,21263.5337,771.0859,,
,426.21,ISLAND,GE14850000,,1824,11522.3715,426.2104,,
,611.684,ISLAND,GE14850000,,1820,19764.8273,611.6835,,
,539.683,ISLAND,GE14850000,,1367,19004.4749,539.6838,,
,933.154,ISLAND,GE14850000,,1364,62654.897,933.1551,,
,658.286,ISLAND,GE14850000,,1355,21267.8461,658.2869,,
,506.094,ISLAND,GE14850000,,1366,17795.1282,506.0946,,
,311.23,ISLAND,GE14850000,,1832,5495.9513,311.2293,,
,2971.256,ISLAND,GE14850000,,1851,515097.1131,2971.2557,,
,655.913,ISLAND,GE14850000,,1874,26865.504,655.9121,,
,277.421,ISLAND,GE14850000,,1845,5055.441,277.4217,,
,1818.6,ISLAND,GE14850000,,1839,167042.9878,1818.6004,,
,675.537,ISLAND,GE14850000,,1838,24255.7823,675.5366,,
